Site,Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
Redmere 2,WienerNet-SS (predicted-k),0.711 ± 0.010,2.39 ± 0.67,2.14 ± 0.26,0.589 ± 0.077,0.865 ± 0.061,0.906 ± 0.048,4.08 ± 1.20,0.100 ± 0.022,1.78 ± 0.51,0.00 ± 0.01,19.4 ± 0.1,18.01 ± 11.97,5
Redmere 2,WienerNet-SS (state-space),0.707 ± 0.007,2.87 ± 0.84,2.05 ± 0.21,0.548 ± 0.065,0.833 ± 0.056,0.877 ± 0.047,3.54 ± 0.88,0.072 ± 0.018,2.12 ± 0.51,-0.00 ± 0.01,19.5 ± 0.1,12.06 ± 7.42,5
Redmere 2,"WienerNet-SS (state-space, +residual)",0.711 ± 0.005,2.56 ± 0.64,2.09 ± 0.22,0.556 ± 0.061,0.844 ± 0.054,0.890 ± 0.043,3.73 ± 0.92,0.073 ± 0.017,1.94 ± 0.47,-0.01 ± 0.01,19.2 ± 0.2,11.31 ± 5.18,5
Redmere 2,"WienerNet-SS (state-space, predicted-k)",0.695 ± 0.003,2.27 ± 0.37,2.02 ± 0.16,0.548 ± 0.044,0.842 ± 0.040,0.890 ± 0.032,3.46 ± 0.65,0.075 ± 0.016,1.84 ± 0.30,-0.00 ± 0.01,19.5 ± 0.1,9.80 ± 6.03,5
Redmere 2,"WienerNet-SS (given-diurnal, Wiener)",0.710 ± 0.007,3.12 ± 1.32,2.14 ± 0.20,0.571 ± 0.073,0.842 ± 0.068,0.883 ± 0.058,3.86 ± 0.97,0.086 ± 0.018,2.16 ± 0.70,-0.01 ± 0.00,19.5 ± 0.0,15.30 ± 8.07,5
Redmere 2,"WienerNet-SS (given-diurnal, state-sp)",0.707 ± 0.010,2.57 ± 0.62,2.11 ± 0.27,0.562 ± 0.065,0.843 ± 0.058,0.886 ± 0.045,3.69 ± 1.03,0.082 ± 0.021,1.96 ± 0.45,-0.01 ± 0.00,19.5 ± 0.0,11.96 ± 6.92,5
Redmere 2,Neural SDE (Gaussian),0.762 ± 0.031,1.72 ± 0.06,2.43 ± 0.22,0.682 ± 0.033,0.896 ± 0.023,0.924 ± 0.019,4.90 ± 0.74,0.128 ± 0.017,1.02 ± 0.13,-0.06 ± 0.07,18.6 ± 0.5,16.39 ± 6.35,5
Redmere 2,Neural SDE (Student-t),0.710 ± 0.008,1.52 ± 0.03,2.17 ± 0.10,0.605 ± 0.051,0.857 ± 0.032,0.902 ± 0.022,3.84 ± 0.35,0.104 ± 0.012,1.46 ± 0.32,-0.01 ± 0.02,19.2 ± 0.3,11.13 ± 3.38,5
Redmere 2,Neural SDE (ALD),0.711 ± 0.008,2.52 ± 0.81,2.08 ± 0.14,0.546 ± 0.056,0.846 ± 0.045,0.891 ± 0.037,3.71 ± 0.68,0.063 ± 0.022,1.91 ± 0.48,-0.03 ± 0.03,18.9 ± 0.2,12.84 ± 4.22,5
Redmere 2,Mean-variance (Gaussian),0.729 ± 0.013,1.68 ± 0.05,2.23 ± 0.07,0.668 ± 0.019,0.884 ± 0.014,0.915 ± 0.011,4.32 ± 0.30,0.126 ± 0.008,1.09 ± 0.04,0.02 ± 0.01,19.3 ± 0.3,12.39 ± 1.83,5
