Site,Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 0-2h,CRPS 2-5h,CRPS 5h+,PIT-KS 5h+,cov90 5h+,sharp 5h+,n
Rosedene,Mean-variance (Student-t),1.56 ± 0.02,1.65 ± 0.07,2.14 ± 0.25,0.789 ± 0.047,1.057 ± 0.105,1.456 ± 0.206,0.256 ± 0.022,0.998 ± 0.001,15.63 ± 2.35,5
Rosedene,Mean-variance (ALD),1.55 ± 0.02,1.64 ± 0.05,1.97 ± 0.10,0.762 ± 0.051,0.992 ± 0.133,1.409 ± 0.221,0.276 ± 0.031,0.997 ± 0.002,15.49 ± 3.40,5
Rosedene,Analytical SDE (Gaussian),1.55,1.59,1.80,0.864,1.159,1.548,0.310,1.000,17.82,1
Rosedene,Analytical SDE (Student-t),1.55,1.59,1.80,0.736,0.760,0.916,0.144,0.913,5.89,1
Rosedene,MDN (mixture),1.58 ± 0.03,1.68 ± 0.08,2.02 ± 0.16,0.789 ± 0.029,1.076 ± 0.070,1.496 ± 0.137,0.257 ± 0.022,0.998 ± 0.001,17.13 ± 2.11,5
Rosedene,Random Forest,1.52 ± 0.13,1.41 ± 0.19,1.28 ± 0.14,—,—,—,—,—,—,5
Rosedene,XGBoost,1.84 ± 0.15,1.61 ± 0.13,1.40 ± 0.07,—,—,—,—,—,—,5
Redmere 1,"WienerNet-SS (ALD, primary)",5.32 ± 0.54,7.86 ± 0.86,2.96 ± 0.08,1.256 ± 0.068,2.000 ± 0.094,1.421 ± 0.036,0.324 ± 0.028,0.980 ± 0.009,12.09 ± 0.54,5
Redmere 1,WienerNet-SS (Gaussian),5.84 ± 0.21,8.71 ± 0.28,3.37 ± 0.46,22.286 ± 27.489,40.433 ± 50.321,7.846 ± 8.225,0.280 ± 0.015,0.990 ± 0.014,84.18 ± 88.92,5
Redmere 1,WienerNet-SS (beta-NLL),5.52 ± 0.44,8.20 ± 0.77,3.55 ± 0.40,9.428 ± 8.793,16.928 ± 16.043,4.064 ± 2.694,0.268 ± 0.047,0.989 ± 0.005,41.52 ± 29.34,5
Redmere 1,WienerNet-SS (Student-t),3.97 ± 1.59,5.57 ± 2.64,2.82 ± 0.85,2.053 ± 2.192,3.414 ± 4.022,1.697 ± 0.733,0.265 ± 0.032,0.968 ± 0.043,16.84 ± 11.14,5
Redmere 1,WienerNet-SS (mixture),4.45 ± 1.66,6.23 ± 2.75,2.76 ± 0.71,1.132 ± 0.187,1.736 ± 0.391,1.422 ± 0.104,0.281 ± 0.041,0.988 ± 0.015,15.37 ± 1.79,5
Redmere 1,WienerNet-SS (+residual),4.25 ± 1.87,6.38 ± 2.70,2.80 ± 0.58,3.982 ± 6.465,7.083 ± 11.916,2.238 ± 1.742,0.260 ± 0.078,0.991 ± 0.006,28.61 ± 32.86,5
Redmere 1,WienerNet-SS (predicted-k),5.47 ± 0.68,8.00 ± 1.33,2.72 ± 0.09,1.268 ± 0.107,1.946 ± 0.241,1.323 ± 0.158,0.311 ± 0.038,0.992 ± 0.006,13.36 ± 2.49,5
