site,seed,model,rmse_h0-2,rmse_h2-5,rmse_h5+,covraw_h0-2,covraw_h2-5,covraw_h5+,covfix_h0-2,covfix_h2-5,covfix_h5+,crpsraw_h0-2,crpsraw_h2-5,crpsraw_h5+,crpsfix_h0-2,crpsfix_h2-5,crpsfix_h5+,pitksraw_h0-2,pitksraw_h2-5,pitksraw_h5+,pitksfix_h0-2,pitksfix_h2-5,pitksfix_h5+,cov50raw_h0-2,cov50raw_h2-5,cov50raw_h5+,cov50fix_h0-2,cov50fix_h2-5,cov50fix_h5+,cov95raw_h0-2,cov95raw_h2-5,cov95raw_h5+,cov95fix_h0-2,cov95fix_h2-5,cov95fix_h5+,sharpraw_h0-2,sharpraw_h2-5,sharpraw_h5+,sharpfix_h0-2,sharpfix_h2-5,sharpfix_h5+
great_fen,2,mean-var (ALD),1.6857401600041135,1.7683207030016423,1.7042895045434785,0.79,0.9120553359683794,0.9746341463414634,,,,0.9122970856122566,1.034804647974714,1.1121236338163756,,,,0.0875,0.1391304347826087,0.1936585365853658,,,,0.4325,0.5701581027667985,0.6936585365853658,,,,0.84,0.9387351778656128,0.9834146341463414,,,,4.3008464528522445,7.0329765197324,9.391824818591882,,,
great_fen,2,MDN (mixture),1.6878043114845658,1.77498284971035,1.71439691482047,0.825,0.950592885375494,0.9902439024390244,,,,0.8917262391019304,0.9875905736285286,1.103656740991943,,,,0.10375,0.1197628458498023,0.2029268292682927,,,,0.3675,0.6096837944664032,0.8253658536585365,,,,0.88375,0.9802371541501976,0.9960975609756098,,,,4.540614144367165,8.100634770587881,11.702424643492916,,,
great_fen,2,Random Forest,1.5195599021377089,1.516357294610809,1.306096678314428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great_fen,2,XGBoost,1.5895550804004268,1.669889762316993,1.445901690174131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
woodwalton,2,WN-SS (predicted-k),1.836796319580284,4.006458207982,7.030779786866848,0.42625,0.247787610619469,0.1280547409579667,,,,1.117122117380296,2.898033351173051,5.47913734795285,,,,0.57875,0.7249754178957719,0.8207429130009775,,,,0.13625,0.0629301868239921,0.0351906158357771,,,,0.50625,0.3058013765978368,0.1945259042033235,,,,2.0406081302836534,3.663321367794448,5.964363774016339,,,
woodwalton,2,WN-SS (state-space),1.5536545015838124,3.1209173737835734,6.050035788691698,0.83625,0.7954768928220256,0.7458455522971652,,,,0.7395068764460104,1.5394541513778623,3.0538511179119547,,,,0.23375,0.2475909537856441,0.2458553274682307,,,,0.57875,0.528023598820059,0.5180840664711632,,,,0.8875,0.8377581120943953,0.7839687194525904,,,,4.068967525231652,7.173141448851583,11.533439127969777,,,
woodwalton,2,"WN-SS (state-space, +residual)",1.9265862151774515,4.6018323858635215,5.289680799007461,0.92,0.9056047197640118,0.9071358748778104,,,,0.8686195190071203,1.9448794469951096,2.548279029536672,,,,0.2249999999999999,0.2043264503441495,0.2088563049853372,,,,0.7325,0.6784660766961652,0.6451612903225806,,,,0.95625,0.928220255653884,0.9472140762463344,,,,6.048306487942114,10.427631122371292,15.378563479678604,,,
rosedene,2,WN-SS (predicted-k),2.467331585315633,2.689688904070292,2.611378297593092,0.86375,0.9498495486459378,0.9906015037593984,,,,1.088084099804851,1.2375384556990208,1.4511795190470806,,,,0.1124999999999999,0.2083350050150451,0.291578947368421,,,,0.6025,0.7803410230692076,0.8421052631578947,,,,0.90375,0.966900702106319,0.9981203007518796,,,,5.571562977494438,9.56725237619752,14.436830429463557,,,
rosedene,2,WN-SS (state-space),2.513738632250289,2.8374840125711427,3.1754033832105693,0.84625,0.9277833500501504,0.9661654135338346,,,,1.127289333111965,1.3064870810427427,1.562359203973527,,,,0.0725,0.1387261785356067,0.181578947368421,,,,0.57625,0.7251755265797393,0.7800751879699248,,,,0.89125,0.9428284854563692,0.9830827067669172,,,,4.9576550067719065,8.736550438800524,12.947948154939436,,,
rosedene,2,"WN-SS (state-space, +residual)",2.547003402327801,2.972576971516383,3.33357458397144,0.88625,0.946840521564694,0.9736842105263158,,,,1.1521622289560955,1.409387090118071,1.7614414877745397,,,,0.125,0.2416449348044131,0.2904511278195488,,,,0.66375,0.8194583751253761,0.8759398496240601,,,,0.9125,0.9578736208625878,0.986842105263158,,,,6.289964510541641,11.105998126163316,16.612684624331223,,,
redmere_1,2,WN-SS (predicted-k),5.792808739621979,8.64068998967104,2.7572202221216435,0.89625,0.9529411764705882,0.997179125528914,,,,1.3273260706983032,2.0639944842206925,1.3673156722757454,,,,0.13625,0.2281283422459893,0.3402397743300422,,,,0.6225,0.7732620320855615,0.846262341325811,,,,0.92625,0.9679144385026738,0.998589562764457,,,,6.394877792540938,10.941941248664564,13.604705665381402,,,
redmere_1,2,WN-SS (state-space),3.637486177759048,4.769880256772035,2.4080117948238264,0.89375,0.9657754010695188,0.994358251057828,,,,12.316135955076229,22.55611645053828,4.374500977596754,,,,0.155,0.253475935828877,0.361015514809591,,,,0.5775,0.7636363636363637,0.7799717912552891,,,,0.92375,0.9743315508021392,0.998589562764457,,,,162.44604693524724,306.5708004882525,53.52006961169885,,,
redmere_1,2,"WN-SS (state-space, +residual)",1.807688864633596,1.9951424615794315,1.6751816571430536,0.885,0.960427807486631,0.994358251057828,,,,10.588372458063136,19.315943890000973,3.899407391470324,,,,0.14875,0.2481283422459893,0.3626798307475317,,,,0.575,0.7518716577540107,0.7743300423131171,,,,0.91375,0.9743315508021392,0.998589562764457,,,,138.5814631327158,261.4988321816259,46.91887938112062,,,
redmere_2,2,WN-SS (predicted-k),1.9012791134743103,1.7846512415711533,1.7306199578907435,0.86375,0.963110667996012,0.9920993227990972,,,,0.8844493090345403,1.0459210475365164,1.3870720679052977,,,,0.1649999999999999,0.2755832502492522,0.409864559819413,,,,0.595,0.715852442671984,0.6591422121896162,,,,0.91,0.9820538384845464,0.9966139954853274,,,,5.003484148141694,8.71416297190649,11.996874478911565,,,
redmere_2,2,WN-SS (state-space),1.923289451880429,1.928411220613952,1.729625643174064,0.8625,0.9651046859421736,0.9932279909706546,,,,0.8738680965564128,0.9890059810737688,1.0243451092972222,,,,0.1037499999999999,0.1667597208374875,0.2558690744920993,,,,0.59625,0.7477567298105683,0.8058690744920993,,,,0.90875,0.979062811565304,1.0,,,,4.947938736085314,8.328058338909969,9.899452157922374,,,
redmere_2,2,"WN-SS (state-space, +residual)",1.9520601036460123,1.951768580904783,1.8476907065825992,0.86125,0.950149551345962,0.9887133182844244,,,,0.8951930594227144,1.0031666631305514,1.0943904577694574,,,,0.0799999999999999,0.1304486540378864,0.1976297968397291,,,,0.56375,0.7268195413758723,0.7866817155756207,,,,0.9075,0.9810568295114656,0.9966139954853274,,,,4.7926284074583085,8.05603984186346,10.070031967401318,,,
great_fen,2,WN-SS (predicted-k),1.7294795615236136,1.9956733248784515,1.7373649542164948,0.88375,0.9701492537313432,0.9959555106167848,,,,0.930070233707502,1.1983809843077775,1.429607569973613,,,,0.0837499999999999,0.1939303482587064,0.2659757330637007,,,,0.57875,0.7562189054726368,0.8624873609706775,,,,0.925,0.9800995024875622,0.9979777553083924,,,,6.366192118425853,10.884438264940432,15.147930756257043,,,
great_fen,2,WN-SS (state-space),1.7331435798079566,1.985583153114072,1.9157913263267488,0.795,0.9044776119402984,0.9534883720930232,,,,0.9357638627573652,1.1754951650911816,1.5456319055852503,,,,0.10375,0.2568159203980099,0.3833872598584429,,,,0.47625,0.6109452736318408,0.5470171890798786,,,,0.85875,0.9402985074626866,0.9838220424671386,,,,4.842524091315921,8.251340245894754,11.621594589335052,,,
great_fen,2,"WN-SS (state-space, +residual)",1.763435102764623,2.0902458043624987,1.768540681660402,0.8,0.9044776119402984,0.980788675429727,,,,0.9288623637294348,1.1509043039581943,1.2400471541531914,,,,0.0925,0.1682587064676616,0.2381092012133467,,,,0.4475,0.6059701492537314,0.7128412537917088,,,,0.845,0.945273631840796,0.9929221435793733,,,,4.600998377065174,7.842386533932676,10.866877429211405,,,
woodwalton,2,"WN-SS (state-space, predicted-k)",2.21959589137923,5.005317672703489,11.71238467117301,0.2425,0.2005899705014749,0.1270772238514174,,,,1.5632865535457694,3.8289636181919295,9.202289025656112,,,,0.5125,0.5660373647984267,0.7250928641251222,,,,0.09125,0.0786627335299901,0.0469208211143695,,,,0.2925,0.2300884955752212,0.1427174975562072,,,,1.1277946761511266,2.1431766053194665,3.4927576129285587,,,
rosedene,2,"WN-SS (state-space, predicted-k)",2.460428437110233,2.669471218015526,2.578791439701249,0.80875,0.9227683049147444,0.9774436090225564,,,,1.0608065404986575,1.12139651649921,1.178330869743511,,,,0.06375,0.0983650952858575,0.1945112781954887,,,,0.46125,0.6509528585757272,0.7612781954887218,,,,0.87,0.9398194583751254,0.9830827067669172,,,,3.9377937495764335,6.690229565850874,9.59528085098714,,,
redmere_1,2,"WN-SS (state-space, predicted-k)",5.295800921838334,7.841783831330176,2.603198095657828,0.905,0.9679144385026738,0.995768688293371,,,,9.657216281062714,17.415895831935966,3.708605104498919,,,,0.1375,0.2305347593582887,0.3097320169252469,,,,0.6175,0.7925133689839572,0.8335684062059239,,,,0.92875,0.9818181818181818,0.998589562764457,,,,149.8725555808306,271.6900799571137,53.73332343413187,,,
redmere_2,2,"WN-SS (state-space, predicted-k)",1.9098571801872477,1.8180909729417984,1.5840778861582094,0.85,0.9581256231306082,0.9909706546275396,,,,0.8614294801150768,0.9589435649480345,1.027970668319033,,,,0.12625,0.2196311066799601,0.3356884875846501,,,,0.58125,0.732801595214357,0.7968397291196389,,,,0.89,0.9740777666999004,0.9966139954853274,,,,4.869693448952864,8.245467683651732,9.968669233974866,,,
