model,site,crps_mean,crps_std,cov90_mean,cov90_std,cov95_mean,cov95_std,pit_ks_mean,pit_ks_std,rmse_mean,rmse_std
Neural SDE,woodwalton,0.5848608464959172,0.10963506466930378,0.7808397420958596,0.2610165192465147,0.8037170822652063,0.2469788419370685,0.24086020430463714,0.004025318348973189,1.8808751106262207,0.7257316608239929
Random Forest,great_fen,,,,,,,,,1.5788791179656982,0.0034024965665274067
Random Forest,redmere_1,,,,,,,,,1.2835166454315186,0.01273261084434048
Random Forest,redmere_2,,,,,,,,,1.5365583499272664,0.011310624767324414
Random Forest,rosedene,,,,,,,,,1.6143333911895752,0.0044130714482834696
Random Forest,woodwalton,,,,,,,,,1.551397403081258,0.014412030363475546
"WienerNet-SS (diurnal, Wiener)",great_fen,0.9100666607329888,0.01701811989991755,0.8366021185038067,0.05339430850887102,0.8849304865938431,0.03758794939867011,0.04831013693723004,0.01542627753002417,2.8767571449279785,0.3826293116372181
"WienerNet-SS (diurnal, Wiener)",redmere_1,1.0032400859380652,0.6789945510809733,0.8915102316928801,0.03175069237790849,0.9265178420429562,0.026019451085762653,0.04278939179504946,0.01935618346489567,40.36719048023224,66.1117132592635
"WienerNet-SS (diurnal, Wiener)",redmere_2,0.7191893136156545,0.018000776995018553,0.8794724351953267,0.011512222641905408,0.9221887550200804,0.011400142384809051,0.0953612845155667,0.007686718531824696,2.49384339650472,0.0840611845692602
"WienerNet-SS (diurnal, Wiener)",rosedene,0.7349552125191066,0.010557139826829752,0.7317022764848021,0.06112555644110649,0.7965153249395905,0.05334453451043088,0.09417018249249849,0.03780925634577818,1.958957354227702,0.08254077097095358
"WienerNet-SS (diurnal, Wiener)",woodwalton,0.48719613598972317,0.012121608755743777,0.7032742950361222,0.14607679168717336,0.7402703332556513,0.14288907380155338,0.12985232236350294,0.05321869864738375,1.3916397492090862,0.11589303624620213
"WienerNet-SS (diurnal, state-space)",great_fen,0.9047789054154519,0.01308305602665479,0.8157067196292619,0.02554517951260231,0.8647798742138365,0.027561666303300817,0.04488424859494674,0.01563270375434521,2.6816587448120117,0.17078511416945819
"WienerNet-SS (diurnal, state-space)",redmere_1,1.255559618755218,0.790566969944422,0.9140876035853204,0.014725002233073093,0.9441907661085743,0.010584802661098446,0.06261093568346658,0.0030977444573577657,160.91853864987692,160.0615493747323
"WienerNet-SS (diurnal, state-space)",redmere_2,0.7271956083251022,0.0251788518376832,0.8713946695874407,0.05080890610012406,0.9140197152245345,0.040569887663339625,0.09949122057401226,0.022351617223923086,2.364735205968221,0.35372064195580494
"WienerNet-SS (diurnal, state-space)",rosedene,0.7297287940734511,0.005484275701629676,0.784306244435966,0.032612536452524626,0.8404235024799694,0.02776313624647893,0.059592949830171604,0.0211071295168787,2.0024537245432534,0.04174742054248138
"WienerNet-SS (diurnal, state-space)",woodwalton,0.5343416472296177,0.07698581218203344,0.7880835857997358,0.15189455865244597,0.817253165540278,0.13939416561596535,0.15019915977476525,0.06372256136766302,1.8297791878382366,0.7542043640583067
"WienerNet-SS (learned-diurnal, Wiener)",great_fen,0.9297129705003445,0.008149420157800328,0.8648212512413108,0.06646335651960288,0.9061569016881826,0.05374015769505927,0.06356715273918952,0.016607593579673056,2.972919543584188,0.17615686076913695
"WienerNet-SS (learned-diurnal, Wiener)",redmere_1,0.8532300422960676,0.13885277653175962,0.8559952646710638,0.037421065742895415,0.8972602739726027,0.03985899409721429,0.061049887369587746,0.01822946545874325,3.215655962626139,0.5491696819232187
"WienerNet-SS (learned-diurnal, Wiener)",redmere_2,0.7405121163922671,0.048512200593198065,0.8632712668857248,0.045128694306269465,0.9093647316538883,0.03605838739288223,0.08415344815476393,0.020648887498728376,2.4677886168162027,0.2139936348468115
"WienerNet-SS (learned-diurnal, Wiener)",rosedene,0.736003869770968,0.007083437060361904,0.7375365636525499,0.043365920192944954,0.801316291491797,0.03302413192459063,0.08425755087994667,0.02501702893299375,1.967481255531311,0.05029440803136702
"WienerNet-SS (learned-diurnal, Wiener)",woodwalton,0.657650861670629,0.2582473455101171,0.7036238639011886,0.16867132430887483,0.7478054843470829,0.16419087402485072,0.1875398395255443,0.09672664425581969,1.8814150094985962,0.8370497262869379
"WienerNet-SS (learned-diurnal, Wiener, +resid)",great_fen,0.9733163703783084,0.08062278047806141,0.8498841443230719,0.08168252816782744,0.8975918570009931,0.06288093969798397,0.09805063156879355,0.01928715924464046,2.9392979939778647,0.5305139093374669
"WienerNet-SS (learned-diurnal, Wiener, +resid)",redmere_1,2.5445398659025202,2.980151654589389,0.9027566379164552,0.014260994946469603,0.9375105699306613,0.010404935804052839,0.057390729661229635,0.013349368685867861,84.66375422477722,140.90160555670806
