scope,model,rmse_h0-2,rmse_h2-5,rmse_h5+,crpsraw_h0-2,crpsraw_h2-5,crpsraw_h5+,crpsfix_h0-2,crpsfix_h2-5,crpsfix_h5+,covraw_h0-2,covraw_h2-5,covraw_h5+,covfix_h0-2,covfix_h2-5,covfix_h5+,cov50raw_h0-2,cov50raw_h2-5,cov50raw_h5+,cov50fix_h0-2,cov50fix_h2-5,cov50fix_h5+,cov95raw_h0-2,cov95raw_h2-5,cov95raw_h5+,cov95fix_h0-2,cov95fix_h2-5,cov95fix_h5+,sharpraw_h0-2,sharpraw_h2-5,sharpraw_h5+,sharpfix_h0-2,sharpfix_h2-5,sharpfix_h5+,pitksraw_h0-2,pitksraw_h2-5,pitksraw_h5+,pitksfix_h0-2,pitksfix_h2-5,pitksfix_h5+
clean4,Neural SDE (ALD),1.643,2.09,2.672,0.824,1.157,1.567,,,,0.835,0.873,0.87,,,,0.539,0.615,0.624,,,,0.877,0.907,0.896,,,,4.821,8.184,10.945,,,,0.122,0.18,0.244,,,
clean4,mean-var (Gaussian),1.562,1.805,2.107,0.874,1.211,1.492,,,,0.943,0.987,0.996,,,,0.773,0.85,0.87,,,,0.962,0.994,0.998,,,,7.336,12.223,15.867,,,,0.183,0.235,0.276,,,
clean4,mean-var (Student-t),1.552,1.775,2.059,0.795,1.048,1.292,,,,0.896,0.955,0.969,,,,0.662,0.749,0.784,,,,0.923,0.969,0.983,,,,5.515,9.306,12.143,,,,0.13,0.183,0.223,,,
clean4,mean-var (ALD),1.544,1.747,1.928,0.784,1.019,1.268,,,,0.886,0.947,0.967,,,,0.622,0.734,0.778,,,,0.918,0.964,0.979,,,,5.266,8.864,11.934,,,,0.13,0.189,0.251,,,
clean4,Analytical (Gaussian),1.524,1.678,1.776,0.899,1.261,1.708,,,,0.955,0.992,0.998,,,,0.816,0.905,0.952,,,,0.963,0.995,0.999,,,,7.75,13.504,20.366,,,,0.201,0.255,0.302,,,
clean4,Analytical (Student-t),1.524,1.678,1.776,0.76,0.91,1.085,,,,0.829,0.914,0.954,,,,0.596,0.704,0.802,,,,0.864,0.933,0.961,,,,3.597,6.258,9.519,,,,0.112,0.134,0.195,,,
clean4,MDN (mixture),1.55,1.752,1.955,0.793,1.054,1.316,,,,0.91,0.968,0.984,,,,0.62,0.781,0.85,,,,0.943,0.982,0.992,,,,6.052,10.295,13.798,,,,0.123,0.199,0.269,,,
clean4,Random Forest,1.592,1.584,1.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean4,XGBoost,1.915,1.895,1.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean4,WN-SS (predicted-k),1.88,2.385,3.149,0.97,1.525,2.449,,,,0.783,0.822,0.819,,,,0.53,0.651,0.692,,,,0.823,0.84,0.83,,,,5.296,9.135,12.851,,,,0.191,0.289,0.38,,,
clean4,WN-SS (state-space),1.786,2.08,2.448,0.846,1.108,1.508,,,,0.824,0.881,0.883,,,,0.543,0.662,0.688,,,,0.867,0.906,0.904,,,,4.61,7.93,10.79,,,,0.119,0.185,0.254,,,
clean4,"WN-SS (state-space, +residual)",1.856,2.345,3.115,0.9,1.284,1.908,,,,0.864,0.904,0.895,,,,0.582,0.682,0.697,,,,0.904,0.93,0.916,,,,5.411,9.291,12.7,,,,0.13,0.204,0.287,,,
clean4,"WN-SS (state-space, predicted-k)",2.047,2.919,3.992,1.027,1.669,2.608,,,,0.861,0.909,0.909,,,,0.569,0.677,0.695,,,,0.897,0.929,0.924,,,,6.185,10.682,14.574,,,,0.166,0.255,0.329,,,
