model,site,seed,crps,nll,cov50,cov90,cov95,sharp50,sharp90,sharp95,pit_mean,pit_var,pit_ks,rmse_floor,mean_z,std_z,acf1,drift_r2,noise_skew,noise_exkurt,noise_tail3sd,energy_distance,vvs_ratio_maxwin,rmse
  residual: ON (state-space),great_fen,42,0.9190527993019459,3.2302673479968687,0.38704071499503473,0.7910873882820258,0.8592353525322741,1.3303916730613714,4.299295023676884,5.475436775418422,0.5316414829348001,0.10426872489067417,0.09167205702660464,1.6619211733304229,0.11511886514247435,2.2656842858489443,"{'lag': 2, 'hours': 1.0, 'acf': -0.006926468368050201, 'n': 5967}",-0.1539732323547005,0.27871433437940574,12.179385712717146,0.023709036742800397,0.044033087494368406,14.340814969556222,2.498147487640381
  tendency: given-diurnal (Wiener),woodwalton,0,0.4800418805207901,50.60444923398682,0.5491144255418318,0.7528548123980424,0.791773479375437,0.4427871171208053,1.4286272020509805,1.8210032026494938,0.4987697573348392,0.09028439853267774,0.08829027854389732,1.5677589430343275,-0.3511908255531919,10.110370645729281,"{'lag': 2, 'hours': 1.0, 'acf': -0.05981374929673934, 'n': 13127}",-0.029877525179995423,-0.8019087552104525,49.752345580289735,0.021789792589140062,0.02862013173223321,1.5440298050236771,1.4046223163604736
  tendency: given-diurnal (Wiener),woodwalton,1,0.5011917986663615,2791.311438173107,0.3592985318107667,0.5388604054998835,0.5787695175949662,0.15920653090074544,0.5145528701478903,0.6567888282520284,0.5158006464770118,0.1378940343796584,0.1898338196642233,1.5677589430343275,-1.2603101564600712,74.72835923800984,"{'lag': 2, 'hours': 1.0, 'acf': -0.025422322023209928, 'n': 13127}",-0.029877525179995423,-0.8019087552104525,49.752345580289735,0.021789792589140062,0.07673718793153658,0.24070909687253975,1.2698020935058594
  tendency: given-diurnal (Wiener),woodwalton,42,0.4803547287820179,10.773773099616927,0.6201934281053367,0.8181076672104405,0.8502680027965509,0.6033589352202582,1.9502904521833573,2.4871519498955688,0.499597221540103,0.07435908045970328,0.11143286888238824,1.5677589430343275,-0.1909021835687013,4.677629741050417,"{'lag': 2, 'hours': 1.0, 'acf': -0.058593103099607836, 'n': 13127}",-0.029877525179995423,-0.8019087552104525,49.752345580289735,0.021789792589140062,0.020766730108573994,3.4392632737379363,1.5004948377609253
  tendency: given-diurnal (Wiener),rosedene,0,0.7408267737074377,8.852533647219062,0.3153376573826784,0.7087466615795498,0.7728920259442961,0.6006532176131243,1.9409165688518193,2.4756701802989065,0.5079791269370001,0.12416301289379007,0.1097542432226658,1.6879225953531205,0.013885108538272118,4.226584756483994,"{'lag': 2, 'hours': 1.0, 'acf': 0.003127603232897786, 'n': 15188}",-0.004305193291310516,-0.6035767141699183,41.89966075996932,0.020221289584128194,0.07657854156750576,1.8349194179431456,1.9138507843017578
  tendency: given-diurnal (Wiener),rosedene,1,0.7227675792330746,4.636031422694959,0.4150133536818008,0.800982449446776,0.8575925219381916,0.8540086442234583,2.759094653530128,3.518322629707418,0.5086362219283224,0.10125377882846026,0.051059705760259755,1.6879225953531205,0.01519232954785605,2.9569755516428997,"{'lag': 2, 'hours': 1.0, 'acf': -0.029742259574925246, 'n': 15188}",-0.004305193291310516,-0.6035767141699183,41.89966075996932,0.020221289584128194,0.03331962418830292,5.358349784472666,2.054222583770752
  tendency: given-diurnal (Wiener),rosedene,42,0.7412712846168077,8.740823948478427,0.2941625333842045,0.6853777184280809,0.7590614269362839,0.5846847545518833,1.888049079117481,2.4080958538247206,0.5065407813625106,0.1291969403153491,0.12169659849456993,1.6879225953531205,0.019253565402433684,4.2152728556943915,"{'lag': 2, 'hours': 1.0, 'acf': -0.018770060020501397, 'n': 15188}",-0.004305193291310516,-0.6035767141699183,41.89966075996932,0.020221289584128194,0.08104875090051233,2.3203169368170347,1.9087986946105957
  tendency: given-diurnal (Wiener),redmere_1,0,1.7871551791264921,2.42665477303313,0.5383054287163876,0.8896499238964992,0.9254185692541856,7.988008207306058,25.81428378975157,32.76361915558909,0.5121926878808185,0.07572201143495234,0.037692557470936305,1.5091149084560704,0.06165624619619592,1.8711366600730988,"{'lag': 2, 'hours': 1.0, 'acf': -0.0427812557233116, 'n': 2679}",-0.00018265578322185227,-0.07108504727963595,13.194590531249407,0.01902587519025875,0.003256129758671733,13.233823855872947,116.70510864257812
  tendency: given-diurnal (Wiener),redmere_1,1,0.6231756214165266,76656.33912381428,0.5892947742262811,0.9241501775748351,0.9530695078640284,1.6111080513956173,5.188354173772517,6.615725680586006,0.5145938412381633,0.06701660085134589,0.06418399022098831,1.5091149084560704,3.1685243257537916,391.5368047366963,"{'lag': 2, 'hours': 1.0, 'acf': -0.17483478156402224, 'n': 2679}",-0.00018265578322185227,-0.07108504727963595,13.194590531249407,0.01902587519025875,0.00718758537836206,12.572586736090106,2.58594012260437
  tendency: given-diurnal (Wiener),redmere_1,42,0.5993894572711765,112032.3650381256,0.4850329781836631,0.860730593607306,0.9010654490106544,1.0897112378991387,3.5146675504570166,4.482878960852184,0.5143250929021426,0.08537131640299175,0.026491627693223774,1.5091149084560704,-1.3564393501561494,473.35184940692665,"{'lag': 2, 'hours': 1.0, 'acf': -0.14520655915004513, 'n': 2679}",-0.00018265578322185227,-0.07108504727963595,13.194590531249407,0.01902587519025875,0.0033865687752042684,8.682748908334752,1.8105226755142212
