Site,Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 0-2h,CRPS 2-5h,CRPS 5h+,PIT-KS 5h+,cov90 5h+,sharp 5h+,n
Rosedene,MDN (mixture),1.69 ± 0.10,1.91 ± 0.18,2.55 ± 0.15,0.771 ± 0.040,0.978 ± 0.105,1.443 ± 0.162,0.197 ± 0.032,0.981 ± 0.015,13.90 ± 2.54,3
Rosedene,Random Forest,1.97 ± 0.01,1.25 ± 0.00,1.18 ± 0.00,—,—,—,—,—,—,3
Rosedene,XGBoost,2.12 ± 0.00,1.33 ± 0.00,1.25 ± 0.00,—,—,—,—,—,—,3
Redmere 1,"WienerNet-SS (ALD, primary)",6.87 ± 1.32,10.42 ± 1.91,5.69 ± 3.06,1.872 ± 0.606,3.229 ± 1.129,2.331 ± 0.879,0.301 ± 0.004,0.968 ± 0.031,15.36 ± 0.28,3
Redmere 1,WienerNet-SS (Gaussian),4.64 ± 1.45,6.75 ± 2.47,3.14 ± 0.63,15.602 ± 24.890,28.223 ± 45.569,5.846 ± 7.486,0.303 ± 0.035,0.996 ± 0.001,62.38 ± 81.47,3
Redmere 1,WienerNet-SS (beta-NLL),5.59 ± 3.30,8.40 ± 5.25,5.08 ± 1.86,2.624 ± 2.229,4.565 ± 4.088,2.510 ± 0.811,0.303 ± 0.071,0.979 ± 0.008,20.14 ± 7.58,3
Redmere 1,WienerNet-SS (Student-t),6.23 ± 0.92,9.21 ± 1.23,3.78 ± 0.46,1.485 ± 0.153,2.437 ± 0.222,1.879 ± 0.174,0.284 ± 0.025,0.988 ± 0.004,18.93 ± 0.20,3
Redmere 1,WienerNet-SS (mixture),3.16 ± 2.25,4.31 ± 3.68,2.01 ± 0.71,1.870 ± 1.268,3.055 ± 2.212,1.749 ± 0.310,0.296 ± 0.033,0.999 ± 0.001,21.99 ± 5.04,3
Redmere 1,WienerNet-SS (+residual),5.96 ± 0.59,9.39 ± 0.13,5.57 ± 3.66,11.231 ± 16.656,20.645 ± 30.634,4.835 ± 4.044,0.294 ± 0.019,0.980 ± 0.029,67.21 ± 86.06,3
Redmere 1,"WienerNet-SS (given-diurnal, Wiener)",1.62 ± 0.00,1.81 ± 0.00,1.43 ± 0.00,0.945 ± 0.172,1.347 ± 0.295,1.375 ± 0.088,0.327 ± 0.002,0.998 ± 0.003,15.45 ± 1.28,3
Redmere 1,"WienerNet-SS (given-diurnal, state-sp)",1.62 ± 0.00,1.81 ± 0.00,1.43 ± 0.00,1.649 ± 1.039,2.642 ± 1.920,1.797 ± 0.142,0.337 ± 0.005,0.998 ± 0.002,21.87 ± 2.45,3
Redmere 1,Neural SDE (Gaussian),1866.84 ± 2557.67,2536.32 ± 3474.88,1093.15 ± 1497.63,94.246 ± 115.061,181.117 ± 223.639,28.370 ± 32.686,0.321 ± 0.030,0.988 ± 0.016,175.55 ± 211.45,3
Redmere 1,Neural SDE (Student-t),596.84 ± 452.67,810.79 ± 615.02,349.58 ± 265.10,63.907 ± 45.433,120.256 ± 84.442,19.756 ± 13.355,0.256 ± 0.029,0.995 ± 0.003,338.90 ± 253.47,3
Redmere 1,Neural SDE (ALD),436.19 ± 397.16,592.49 ± 539.67,255.52 ± 232.52,35.265 ± 31.223,66.080 ± 58.929,11.343 ± 8.976,0.306 ± 0.044,0.997 ± 0.001,16.10 ± 1.50,3
Redmere 1,Mean-variance (Gaussian),570.20 ± 480.89,774.67 ± 653.32,333.91 ± 281.57,45.296 ± 38.109,84.779 ± 72.068,14.604 ± 11.285,0.277 ± 0.016,0.991 ± 0.006,21.61 ± 4.04,3
Redmere 1,Mean-variance (Student-t),666.42 ± 751.29,905.39 ± 1020.73,390.30 ± 439.79,52.247 ± 58.707,97.754 ± 110.494,16.669 ± 17.561,0.267 ± 0.030,0.997 ± 0.002,26.56 ± 13.60,3
Redmere 1,Mean-variance (ALD),192.29 ± 275.72,261.14 ± 374.66,112.86 ± 161.21,15.914 ± 21.143,29.628 ± 40.087,5.789 ± 6.347,0.278 ± 0.022,0.994 ± 0.006,17.10 ± 3.79,3
Redmere 1,Analytical SDE (Gaussian),1.60,1.76,1.30,0.904,1.292,1.689,0.309,1.000,21.10,1
Redmere 1,Analytical SDE (Student-t),1.60,1.76,1.30,0.767,0.884,0.788,0.180,0.972,6.61,1
Redmere 1,MDN (mixture),5.26 ± 2.31,7.06 ± 3.17,3.64 ± 0.94,1.437 ± 0.118,2.279 ± 0.255,1.655 ± 0.190,0.265 ± 0.011,0.997 ± 0.001,18.31 ± 3.34,3
Redmere 1,Random Forest,1.45 ± 0.01,1.19 ± 0.02,0.90 ± 0.02,—,—,—,—,—,—,3
Redmere 1,XGBoost,1.52 ± 0.00,1.28 ± 0.00,0.90 ± 0.00,—,—,—,—,—,—,3
Redmere 2,"WienerNet-SS (ALD, primary)",2.33 ± 0.67,3.06 ± 1.66,2.89 ± 1.30,1.040 ± 0.168,1.406 ± 0.419,1.452 ± 0.388,0.265 ± 0.032,0.984 ± 0.009,14.11 ± 3.01,3
Redmere 2,WienerNet-SS (Gaussian),1.81 ± 0.01,1.75 ± 0.04,1.85 ± 0.29,0.918 ± 0.021,1.093 ± 0.048,1.164 ± 0.136,0.272 ± 0.021,0.989 ± 0.012,12.08 ± 0.94,3
Redmere 2,WienerNet-SS (beta-NLL),1.88 ± 0.06,2.02 ± 0.27,2.63 ± 1.14,0.993 ± 0.089,1.296 ± 0.225,1.550 ± 0.439,0.279 ± 0.070,0.978 ± 0.020,14.94 ± 3.71,3
Redmere 2,WienerNet-SS (Student-t),1.90 ± 0.08,1.96 ± 0.16,2.12 ± 0.02,0.938 ± 0.009,1.229 ± 0.063,1.478 ± 0.213,0.280 ± 0.019,0.995 ± 0.005,18.64 ± 3.56,3
Redmere 2,WienerNet-SS (mixture),1.97 ± 0.23,2.10 ± 0.49,2.00 ± 0.43,0.967 ± 0.142,1.207 ± 0.306,1.305 ± 0.336,0.264 ± 0.041,0.996 ± 0.004,14.96 ± 4.69,3
Redmere 2,WienerNet-SS (+residual),2.00 ± 0.14,2.39 ± 0.59,2.83 ± 1.33,0.968 ± 0.069,1.292 ± 0.240,1.587 ± 0.540,0.255 ± 0.031,0.961 ± 0.032,13.03 ± 2.00,3
Redmere 2,"WienerNet-SS (given-diurnal, Wiener)",1.82 ± 0.00,1.75 ± 0.00,1.66 ± 0.00,0.924 ± 0.030,1.161 ± 0.046,1.260 ± 0.120,0.318 ± 0.018,0.998 ± 0.002,14.19 ± 1.61,3
Redmere 2,"WienerNet-SS (given-diurnal, state-sp)",1.82 ± 0.00,1.75 ± 0.00,1.66 ± 0.00,0.925 ± 0.069,1.160 ± 0.182,1.345 ± 0.301,0.345 ± 0.033,0.996 ± 0.007,14.96 ± 4.57,3
Redmere 2,Neural SDE (Gaussian),1.87 ± 0.06,1.97 ± 0.19,2.24 ± 0.46,0.973 ± 0.074,1.248 ± 0.189,1.444 ± 0.344,0.295 ± 0.060,0.984 ± 0.020,13.84 ± 3.07,3
Redmere 2,Neural SDE (Student-t),2.14 ± 0.28,2.69 ± 0.67,2.77 ± 1.00,1.021 ± 0.116,1.425 ± 0.252,1.626 ± 0.419,0.301 ± 0.022,0.994 ± 0.009,19.26 ± 5.26,3
Redmere 2,Neural SDE (ALD),2.10 ± 0.29,2.82 ± 1.18,3.93 ± 3.25,1.058 ± 0.172,1.497 ± 0.431,1.899 ± 0.952,0.250 ± 0.058,0.987 ± 0.021,17.26 ± 5.88,3
Redmere 2,Mean-variance (Gaussian),1.87 ± 0.02,2.01 ± 0.28,2.26 ± 0.73,1.124 ± 0.120,1.511 ± 0.255,1.557 ± 0.254,0.209 ± 0.035,0.999 ± 0.001,17.05 ± 3.53,3
Redmere 2,Mean-variance (Student-t),1.80 ± 0.01,1.77 ± 0.05,1.66 ± 0.10,0.918 ± 0.075,1.206 ± 0.201,1.347 ± 0.300,0.249 ± 0.055,0.999 ± 0.001,17.35 ± 5.30,3
Redmere 2,Mean-variance (ALD),1.94 ± 0.19,2.23 ± 0.69,2.28 ± 0.92,0.969 ± 0.110,1.270 ± 0.287,1.379 ± 0.352,0.249 ± 0.085,0.992 ± 0.011,13.42 ± 2.17,3
Redmere 2,Analytical SDE (Gaussian),1.82,1.75,1.71,0.991,1.299,1.724,0.307,0.994,20.63,1
Redmere 2,Analytical SDE (Student-t),1.82,1.75,1.71,0.861,0.880,0.886,0.180,0.947,6.62,1
Redmere 2,MDN (mixture),1.95 ± 0.12,2.33 ± 0.64,2.59 ± 1.22,0.954 ± 0.104,1.242 ± 0.344,1.415 ± 0.591,0.193 ± 0.024,0.986 ± 0.009,13.09 ± 5.26,3
Redmere 2,Random Forest,1.68 ± 0.01,1.50 ± 0.02,1.24 ± 0.01,—,—,—,—,—,—,3
Redmere 2,XGBoost,1.85 ± 0.00,1.59 ± 0.00,1.34 ± 0.00,—,—,—,—,—,—,3
Great Fen,"WienerNet-SS (ALD, primary)",1.83 ± 0.12,2.37 ± 0.32,2.51 ± 0.27,1.057 ± 0.049,1.491 ± 0.132,1.900 ± 0.198,0.320 ± 0.038,0.995 ± 0.006,19.60 ± 3.82,3
Great Fen,WienerNet-SS (Gaussian),1.73 ± 0.01,1.98 ± 0.09,2.22 ± 0.21,1.015 ± 0.058,1.335 ± 0.135,1.648 ± 0.291,0.234 ± 0.050,0.987 ± 0.010,17.48 ± 4.39,3
Great Fen,WienerNet-SS (beta-NLL),1.97 ± 0.25,2.90 ± 0.81,4.18 ± 1.16,1.118 ± 0.151,1.632 ± 0.368,2.252 ± 0.583,0.330 ± 0.072,0.986 ± 0.007,19.40 ± 4.58,3
Great Fen,WienerNet-SS (Student-t),1.89 ± 0.35,2.50 ± 0.99,2.61 ± 1.14,1.116 ± 0.189,1.491 ± 0.369,1.785 ± 0.336,0.199 ± 0.027,0.932 ± 0.076,19.28 ± 3.76,3
Great Fen,WienerNet-SS (mixture),1.70 ± 0.01,1.80 ± 0.03,1.73 ± 0.05,0.955 ± 0.042,1.204 ± 0.122,1.506 ± 0.325,0.232 ± 0.047,0.995 ± 0.008,17.63 ± 5.61,3
Great Fen,WienerNet-SS (+residual),2.06 ± 0.36,3.05 ± 0.93,4.12 ± 1.57,1.128 ± 0.175,1.668 ± 0.493,2.302 ± 0.936,0.292 ± 0.065,0.974 ± 0.015,19.08 ± 9.18,3
Great Fen,"WienerNet-SS (given-diurnal, Wiener)",1.70 ± 0.00,1.79 ± 0.00,1.71 ± 0.00,1.035 ± 0.077,1.337 ± 0.198,1.661 ± 0.334,0.304 ± 0.047,0.995 ± 0.003,18.12 ± 4.96,3
Great Fen,"WienerNet-SS (given-diurnal, state-sp)",1.70 ± 0.00,1.79 ± 0.00,1.71 ± 0.00,1.019 ± 0.049,1.300 ± 0.105,1.547 ± 0.089,0.308 ± 0.014,0.983 ± 0.008,16.69 ± 1.20,3
