Site,Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
Redmere 1,Mean-variance (Gaussian),7.446 ± 5.690,2.64 ± 1.07,171.11 ± 139.86,0.682 ± 0.028,0.921 ± 0.009,0.941 ± 0.006,8.87 ± 1.16,0.121 ± 0.023,1.64 ± 0.60,-20391.82 ± 21720.70,1157.5 ± 208.4,114.75 ± 148.11,3
Redmere 1,Mean-variance (Student-t),9.367 ± 8.193,1.56 ± 0.06,226.85 ± 192.29,0.475 ± 0.048,0.848 ± 0.043,0.907 ± 0.033,8.71 ± 4.20,0.058 ± 0.016,9875.44 ± 14923.94,-36460.41 ± 49863.77,1796.9 ± 1175.5,42.48 ± 22.80,3
Redmere 1,Mean-variance (ALD),3.065 ± 3.240,158103938.30 ± 136955650.01,64.72 ± 75.53,0.533 ± 0.044,0.887 ± 0.019,0.925 ± 0.014,6.90 ± 2.67,0.040 ± 0.022,14511.50 ± 12566.73,-3803.54 ± 6363.10,1867.2 ± 1051.2,18.22 ± 9.69,3
Redmere 1,Analytical SDE (Gaussian),0.657,1.69,2.01,0.781,0.954,0.969,5.16,0.155,0.76,0.01,13.3,18.80,1
Redmere 1,Analytical SDE (Student-t),0.605,1.39,1.32,0.395,0.696,0.751,1.62,0.096,2.42,0.01,13.3,3.75,1
Redmere 1,MDN (mixture),1.299 ± 0.551,1.54 ± 0.06,30.38 ± 20.80,0.469 ± 0.045,0.897 ± 0.008,0.938 ± 0.005,6.49 ± 1.58,0.036 ± 0.018,12528.53 ± 10893.85,-605.40 ± 925.62,3050.1 ± 95.3,113.25 ± 161.72,3
Redmere 1,Random Forest,—,—,1.28 ± 0.01,—,—,—,—,—,—,—,—,—,3
Redmere 1,XGBoost,—,—,1.35 ± 0.00,—,—,—,—,—,—,—,—,—,3
Redmere 2,"WienerNet-SS (ALD, primary)",0.741 ± 0.049,2.10 ± 0.23,2.47 ± 0.21,0.575 ± 0.049,0.863 ± 0.045,0.909 ± 0.036,4.54 ± 0.63,0.084 ± 0.021,1.64 ± 0.27,-0.57 ± 0.86,22.1 ± 5.6,13.89 ± 4.09,3
Redmere 2,WienerNet-SS (Gaussian),0.731 ± 0.005,1.78 ± 0.09,2.18 ± 0.05,0.643 ± 0.029,0.858 ± 0.029,0.890 ± 0.024,4.07 ± 0.34,0.117 ± 0.009,1.24 ± 0.16,-0.00 ± 0.00,19.5 ± 0.1,9.58 ± 2.83,3
Redmere 2,WienerNet-SS (beta-NLL),0.765 ± 0.031,1.89 ± 0.21,2.42 ± 0.33,0.680 ± 0.078,0.880 ± 0.065,0.907 ± 0.056,4.88 ± 1.25,0.136 ± 0.030,1.17 ± 0.41,-0.02 ± 0.03,19.2 ± 0.2,16.02 ± 6.13,3
Redmere 2,WienerNet-SS (Student-t),0.717 ± 0.003,1.48 ± 0.04,2.93 ± 0.44,0.565 ± 0.039,0.861 ± 0.035,0.923 ± 0.023,4.26 ± 0.55,0.093 ± 0.003,2.32 ± 0.66,-0.05 ± 0.04,19.0 ± 0.1,32.17 ± 26.63,3
Redmere 2,WienerNet-SS (mixture),0.728 ± 0.025,1.81 ± 0.02,2.45 ± 0.52,0.539 ± 0.103,0.845 ± 0.072,0.906 ± 0.046,4.34 ± 1.62,0.100 ± 0.030,1.11 ± 0.29,-0.08 ± 0.11,18.9 ± 0.8,17.63 ± 10.76,3
Redmere 2,WienerNet-SS (+residual),0.734 ± 0.021,2.28 ± 0.12,2.30 ± 0.19,0.563 ± 0.016,0.848 ± 0.016,0.896 ± 0.012,4.25 ± 0.53,0.068 ± 0.009,1.78 ± 0.12,-0.14 ± 0.14,18.2 ± 0.8,12.32 ± 4.00,3
Redmere 2,WienerNet-SS (state-space),0.799 ± 0.160,1.97 ± 0.10,2.89 ± 1.00,0.599 ± 0.048,0.881 ± 0.033,0.922 ± 0.024,5.26 ± 1.79,0.095 ± 0.027,1.50 ± 0.21,-1.54 ± 2.63,28.6 ± 16.3,44.48 ± 58.05,3
Redmere 2,"WienerNet-SS (given-diurnal, Wiener)",0.719 ± 0.018,1.94 ± 0.15,2.49 ± 0.08,0.600 ± 0.017,0.879 ± 0.012,0.922 ± 0.011,4.78 ± 0.30,0.095 ± 0.008,1.52 ± 0.09,-0.01 ± 0.00,19.5 ± 0.0,14.15 ± 3.81,3
Redmere 2,"WienerNet-SS (given-diurnal, state-sp)",0.727 ± 0.025,2.12 ± 0.41,2.36 ± 0.35,0.599 ± 0.065,0.871 ± 0.051,0.914 ± 0.041,4.68 ± 1.29,0.099 ± 0.022,1.60 ± 0.41,-0.01 ± 0.00,19.5 ± 0.0,17.98 ± 7.42,3
Redmere 2,WienerNet-SS (predicted-k),0.702 ± 0.007,2.01 ± 0.19,2.26 ± 0.20,0.574 ± 0.038,0.862 ± 0.033,0.908 ± 0.024,4.21 ± 0.60,0.087 ± 0.010,1.63 ± 0.19,-0.00 ± 0.01,19.2 ± 0.2,12.36 ± 5.45,3
Redmere 2,Neural SDE (Gaussian),0.755 ± 0.018,1.85 ± 0.14,2.34 ± 0.22,0.660 ± 0.048,0.872 ± 0.044,0.903 ± 0.039,4.53 ± 0.81,0.134 ± 0.017,1.20 ± 0.27,-0.03 ± 0.03,18.6 ± 0.6,13.16 ± 4.37,3
Redmere 2,Neural SDE (Student-t),0.741 ± 0.030,1.52 ± 0.04,3.37 ± 0.36,0.557 ± 0.043,0.856 ± 0.038,0.918 ± 0.026,4.67 ± 0.72,0.077 ± 0.014,2.11 ± 0.31,-0.35 ± 0.37,18.2 ± 0.5,51.54 ± 44.29,3
Redmere 2,Neural SDE (ALD),0.767 ± 0.067,2.00 ± 0.05,2.68 ± 0.52,0.604 ± 0.033,0.886 ± 0.028,0.926 ± 0.019,5.36 ± 1.27,0.084 ± 0.021,1.49 ± 0.18,-0.40 ± 0.51,16.1 ± 2.6,20.78 ± 14.93,3
Redmere 2,Mean-variance (Gaussian),0.808 ± 0.053,1.88 ± 0.14,3.02 ± 0.50,0.696 ± 0.040,0.890 ± 0.028,0.916 ± 0.023,5.94 ± 1.30,0.137 ± 0.018,1.14 ± 0.13,0.01 ± 0.05,18.9 ± 0.1,23.61 ± 10.69,3
Redmere 2,Mean-variance (Student-t),0.714 ± 0.013,1.48 ± 0.02,3.14 ± 1.02,0.552 ± 0.067,0.846 ± 0.061,0.911 ± 0.046,4.26 ± 1.16,0.077 ± 0.013,2.20 ± 0.64,0.03 ± 0.02,18.7 ± 0.7,27.62 ± 7.79,3
Redmere 2,Mean-variance (ALD),0.728 ± 0.032,2.12 ± 0.13,2.40 ± 0.25,0.578 ± 0.018,0.862 ± 0.021,0.909 ± 0.017,4.59 ± 0.79,0.092 ± 0.012,1.66 ± 0.15,-0.10 ± 0.19,18.8 ± 1.1,16.15 ± 3.43,3
Redmere 2,Analytical SDE (Gaussian),0.773,1.89,2.27,0.748,0.921,0.937,5.09,0.162,1.00,-0.00,19.4,36.98,1
Redmere 2,Analytical SDE (Student-t),0.733,1.49,1.69,0.486,0.689,0.729,1.63,0.110,3.13,-0.00,19.4,2.22,1
Redmere 2,MDN (mixture),0.726 ± 0.019,1.56 ± 0.01,2.42 ± 0.38,0.526 ± 0.046,0.820 ± 0.052,0.883 ± 0.046,3.95 ± 1.07,0.078 ± 0.011,1.79 ± 0.16,-0.06 ± 0.09,18.2 ± 0.7,14.20 ± 13.04,3
Redmere 2,Random Forest,—,—,1.54 ± 0.01,—,—,—,—,—,—,—,—,—,3
Redmere 2,XGBoost,—,—,1.67 ± 0.00,—,—,—,—,—,—,—,—,—,3
Great Fen,"WienerNet-SS (ALD, primary)",0.930 ± 0.008,3.06 ± 1.00,2.97 ± 0.18,0.518 ± 0.097,0.865 ± 0.066,0.906 ± 0.054,6.01 ± 1.10,0.064 ± 0.017,1.97 ± 0.61,-0.10 ± 0.05,12.9 ± 1.6,25.79 ± 13.37,3
Great Fen,WienerNet-SS (Gaussian),0.904 ± 0.038,2.29 ± 0.49,2.53 ± 0.14,0.594 ± 0.054,0.855 ± 0.019,0.889 ± 0.010,5.00 ± 0.66,0.062 ± 0.032,1.45 ± 0.25,0.00 ± 0.00,15.0 ± 0.2,17.45 ± 8.35,3
Great Fen,WienerNet-SS (beta-NLL),0.939 ± 0.043,2.13 ± 0.15,2.85 ± 0.37,0.613 ± 0.055,0.874 ± 0.039,0.906 ± 0.031,5.71 ± 1.08,0.105 ± 0.036,1.26 ± 0.24,-0.02 ± 0.05,13.7 ± 0.2,19.10 ± 8.18,3
Great Fen,WienerNet-SS (Student-t),0.969 ± 0.047,2.71 ± 0.66,3.72 ± 1.70,0.365 ± 0.083,0.659 ± 0.121,0.717 ± 0.127,4.23 ± 1.81,0.121 ± 0.068,57.06 ± 28.99,-0.03 ± 0.02,14.5 ± 0.8,56.31 ± 43.61,3
Great Fen,WienerNet-SS (mixture),0.908 ± 0.036,2.13 ± 0.22,2.65 ± 0.30,0.345 ± 0.081,0.826 ± 0.029,0.900 ± 0.022,4.97 ± 0.87,0.086 ± 0.044,1.31 ± 0.25,-0.01 ± 0.00,15.3 ± 0.1,18.61 ± 7.89,3
Great Fen,WienerNet-SS (+residual),0.973 ± 0.081,3.10 ± 1.04,2.94 ± 0.53,0.471 ± 0.128,0.850 ± 0.082,0.898 ± 0.063,5.82 ± 2.07,0.098 ± 0.019,1.97 ± 0.79,-0.17 ± 0.15,11.1 ± 2.1,27.54 ± 23.18,3
Great Fen,WienerNet-SS (state-space),0.951 ± 0.072,3.88 ± 1.28,3.39 ± 1.17,0.508 ± 0.103,0.853 ± 0.058,0.897 ± 0.045,6.66 ± 2.91,0.056 ± 0.024,2.33 ± 0.75,-0.10 ± 0.08,13.5 ± 0.5,26.59 ± 21.24,3
Great Fen,"WienerNet-SS (given-diurnal, Wiener)",0.910 ± 0.017,4.29 ± 0.72,2.88 ± 0.38,0.495 ± 0.090,0.837 ± 0.053,0.885 ± 0.038,5.58 ± 1.43,0.048 ± 0.015,2.60 ± 0.33,-0.01 ± 0.00,15.3 ± 0.0,19.17 ± 7.86,3
Great Fen,"WienerNet-SS (given-diurnal, state-sp)",0.905 ± 0.013,4.63 ± 1.22,2.68 ± 0.17,0.471 ± 0.018,0.816 ± 0.026,0.865 ± 0.028,5.09 ± 0.55,0.045 ± 0.016,2.74 ± 0.50,-0.01 ± 0.00,15.3 ± 0.0,16.20 ± 3.20,3
Great Fen,WienerNet-SS (predicted-k),0.897 ± 0.018,3.52 ± 0.91,2.59 ± 0.08,0.464 ± 0.056,0.820 ± 0.047,0.869 ± 0.039,4.84 ± 0.47,0.041 ± 0.020,2.30 ± 0.49,-0.01 ± 0.00,15.2 ± 0.1,17.61 ± 8.88,3
Great Fen,Neural SDE (Gaussian),1.084 ± 0.241,2.23 ± 0.10,3.81 ± 1.87,0.659 ± 0.065,0.898 ± 0.038,0.923 ± 0.032,7.78 ± 3.81,0.114 ± 0.035,1.13 ± 0.30,-0.09 ± 0.08,12.7 ± 1.7,92.79 ± 122.05,3
Great Fen,Neural SDE (Student-t),0.936 ± 0.052,2.18 ± 0.36,3.16 ± 0.29,0.394 ± 0.054,0.751 ± 0.083,0.816 ± 0.083,4.40 ± 0.52,0.077 ± 0.041,14.44 ± 11.49,-0.06 ± 0.06,13.1 ± 0.6,29.28 ± 2.51,3
Great Fen,Neural SDE (ALD),0.950 ± 0.038,6.07 ± 2.86,2.59 ± 0.29,0.427 ± 0.106,0.785 ± 0.089,0.839 ± 0.076,4.58 ± 1.28,0.080 ± 0.065,3.14 ± 1.10,-0.08 ± 0.03,11.9 ± 1.1,17.60 ± 3.10,3
