Site,Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
Rosedene,Mean-variance (Gaussian),0.769 ± 0.046,1.85 ± 0.16,2.62 ± 0.36,0.716 ± 0.077,0.918 ± 0.035,0.938 ± 0.029,5.15 ± 1.34,0.127 ± 0.036,1.12 ± 0.31,-0.00 ± 0.01,41.8 ± 0.2,20.63 ± 11.96,5
Rosedene,Mean-variance (Student-t),0.735 ± 0.008,1.58 ± 0.08,2.37 ± 0.18,0.622 ± 0.065,0.880 ± 0.047,0.909 ± 0.040,4.08 ± 0.75,0.078 ± 0.035,1.89 ± 0.76,0.00 ± 0.00,42.0 ± 0.2,13.40 ± 4.71,5
Rosedene,Mean-variance (ALD),0.729 ± 0.017,2.48 ± 0.56,2.42 ± 0.38,0.560 ± 0.061,0.890 ± 0.032,0.925 ± 0.025,4.35 ± 1.18,0.044 ± 0.024,1.86 ± 0.37,0.00 ± 0.00,41.9 ± 0.1,14.96 ± 8.10,5
Rosedene,Analytical SDE (Gaussian),0.785,2.04,2.31,0.738,0.910,0.931,4.69,0.142,1.21,-0.00,42.0,14.65,1
Rosedene,Analytical SDE (Student-t),0.765,1.54,1.84,0.406,0.680,0.726,1.55,0.108,3.66,-0.00,42.0,1.76,1
Rosedene,MDN (mixture),0.723 ± 0.008,1.51 ± 0.04,2.37 ± 0.19,0.549 ± 0.063,0.892 ± 0.033,0.928 ± 0.022,4.21 ± 0.74,0.046 ± 0.020,1.41 ± 0.23,-0.00 ± 0.00,41.9 ± 0.2,16.44 ± 8.50,5
Rosedene,Random Forest,—,—,1.61 ± 0.01,—,—,—,—,—,—,—,—,—,5
Rosedene,XGBoost,—,—,1.73 ± 0.00,—,—,—,—,—,—,—,—,—,5
Redmere 1,"WienerNet-SS (ALD, primary)",0.866 ± 0.345,3501628.65 ± 2299627.76,6.77 ± 9.06,0.511 ± 0.041,0.880 ± 0.034,0.921 ± 0.027,7.15 ± 6.89,0.039 ± 0.012,2446.01 ± 1115.12,-2.87 ± 0.64,124.9 ± 11.1,13.33 ± 4.94,5
Redmere 1,WienerNet-SS (Gaussian),3.811 ± 6.140,2883312.39 ± 1928792.26,290.93 ± 588.55,0.654 ± 0.013,0.907 ± 0.008,0.930 ± 0.008,44.56 ± 80.33,0.100 ± 0.013,2117.83 ± 1258.06,-3.04 ± 1.37,125.9 ± 8.3,14.51 ± 3.44,5
Redmere 1,WienerNet-SS (beta-NLL),4.584 ± 5.905,1284662.77 ± 1199850.12,388.48 ± 467.05,0.663 ± 0.013,0.911 ± 0.005,0.934 ± 0.005,55.19 ± 77.17,0.110 ± 0.017,1402.03 ± 865.36,-2.70 ± 0.85,128.7 ± 7.1,16.08 ± 7.94,5
Redmere 1,WienerNet-SS (Student-t),2.467 ± 3.130,1.71 ± 0.13,147.05 ± 230.43,0.532 ± 0.024,0.851 ± 0.011,0.893 ± 0.009,27.63 ± 42.25,0.038 ± 0.012,2868.07 ± 710.91,-3.71 ± 1.01,129.5 ± 4.4,17.43 ± 15.82,5
Redmere 1,WienerNet-SS (mixture),0.738 ± 0.098,54417.93 ± 16521.03,6.83 ± 9.30,0.458 ± 0.043,0.885 ± 0.014,0.935 ± 0.010,4.70 ± 1.68,0.047 ± 0.015,325.73 ± 54.06,-3.09 ± 0.99,125.4 ± 2.3,12.66 ± 2.04,5
Redmere 1,WienerNet-SS (+residual),3.523 ± 2.811,2732866.11 ± 2732469.92,326.72 ± 334.09,0.499 ± 0.031,0.883 ± 0.013,0.923 ± 0.011,55.01 ± 50.77,0.042 ± 0.015,1955.04 ± 1428.93,-3.34 ± 0.92,124.8 ± 5.1,15.87 ± 2.36,5
Redmere 1,WienerNet-SS (state-space),4.197 ± 4.067,2668294.64 ± 2254559.85,457.09 ± 666.17,0.526 ± 0.026,0.892 ± 0.014,0.930 ± 0.012,67.32 ± 73.14,0.044 ± 0.006,2062.82 ± 1153.36,-2.70 ± 1.56,122.0 ± 12.4,14.29 ± 10.75,5
Redmere 1,"WienerNet-SS (given-diurnal, Wiener)",1.673 ± 1.799,77867.16 ± 41486.07,233.98 ± 357.02,0.528 ± 0.036,0.892 ± 0.021,0.931 ± 0.018,23.31 ± 32.15,0.041 ± 0.006,380.91 ± 115.29,-0.00 ± 0.00,13.2 ± 0.0,14.56 ± 5.79,5
Redmere 1,"WienerNet-SS (given-diurnal, state-sp)",2.725 ± 3.137,40378.88 ± 30222.59,307.77 ± 368.83,0.524 ± 0.047,0.895 ± 0.026,0.933 ± 0.019,42.18 ± 55.72,0.042 ± 0.019,249.17 ± 152.73,-0.00 ± 0.00,13.2 ± 0.0,11.95 ± 2.63,5
Redmere 1,WienerNet-SS (predicted-k),3.125 ± 3.776,1813282.36 ± 2285124.27,498.86 ± 683.37,0.513 ± 0.012,0.889 ± 0.008,0.928 ± 0.006,47.44 ± 68.32,0.029 ± 0.005,1364.76 ± 1482.42,-4.52 ± 1.54,125.9 ± 17.4,8.82 ± 1.14,5
Redmere 1,Neural SDE (Gaussian),6.229 ± 5.031,279156620.38 ± 611733956.37,393.94 ± 432.66,0.664 ± 0.040,0.910 ± 0.022,0.933 ± 0.019,51.18 ± 58.97,0.105 ± 0.019,12302.66 ± 22530.40,-28548.59 ± 35546.51,1208.2 ± 155.7,17.29 ± 7.89,5
Redmere 1,Neural SDE (Student-t),10.093 ± 2.304,1.57 ± 0.10,915.05 ± 318.88,0.550 ± 0.017,0.870 ± 0.009,0.910 ± 0.011,115.94 ± 36.25,0.065 ± 0.018,18370.87 ± 27701.28,-27600.15 ± 30943.70,1259.3 ± 32.5,17.99 ± 13.36,5
Redmere 1,Neural SDE (ALD),3.114 ± 2.415,753448231.81 ± 1183438282.91,330.79 ± 463.93,0.504 ± 0.011,0.894 ± 0.004,0.932 ± 0.001,38.01 ± 46.45,0.037 ± 0.007,28860.12 ± 28983.53,-768.31 ± 882.21,1596.8 ± 786.0,9.07 ± 1.37,5
Redmere 1,Mean-variance (Gaussian),5.079 ± 5.674,54625573.45 ± 122146490.57,113.56 ± 124.40,0.677 ± 0.021,0.918 ± 0.014,0.941 ± 0.010,8.82 ± 3.81,0.120 ± 0.012,4671.80 ± 10443.48,-12197.06 ± 20440.58,1928.3 ± 1040.5,38.81 ± 39.98,5
Redmere 1,Mean-variance (Student-t),3.048 ± 1.526,1.60 ± 0.12,73.30 ± 38.85,0.556 ± 0.018,0.873 ± 0.015,0.912 ± 0.013,7.03 ± 4.61,0.061 ± 0.011,11818.70 ± 18519.43,-2957.14 ± 2454.82,1944.8 ± 885.3,61.02 ± 111.71,5
Redmere 1,Mean-variance (ALD),2.140 ± 1.445,70027204.88 ± 91192523.57,44.84 ± 36.46,0.498 ± 0.030,0.881 ± 0.011,0.924 ± 0.006,5.66 ± 1.81,0.032 ± 0.008,8520.36 ± 9172.44,-1383.31 ± 1976.25,1558.9 ± 883.8,10.95 ± 3.45,5
Redmere 1,Analytical SDE (Gaussian),0.656,1.68,2.01,0.781,0.953,0.969,5.16,0.155,0.76,0.01,13.3,37.76,1
Redmere 1,Analytical SDE (Student-t),0.604,1.39,1.33,0.400,0.704,0.757,1.65,0.093,2.37,0.01,13.3,2.89,1
Redmere 1,MDN (mixture),1.852 ± 0.545,1.56 ± 0.09,40.91 ± 16.82,0.480 ± 0.043,0.901 ± 0.011,0.941 ± 0.006,9.28 ± 4.16,0.040 ± 0.010,11018.77 ± 23958.52,-787.47 ± 824.12,2405.0 ± 703.5,63.30 ± 70.92,5
Redmere 1,Random Forest,—,—,1.28 ± 0.01,—,—,—,—,—,—,—,—,—,5
Redmere 1,XGBoost,—,—,1.35 ± 0.00,—,—,—,—,—,—,—,—,—,5
Redmere 2,"WienerNet-SS (ALD, primary)",0.720 ± 0.018,1.81 ± 0.08,2.47 ± 0.18,0.621 ± 0.048,0.898 ± 0.029,0.938 ± 0.019,5.07 ± 0.83,0.101 ± 0.021,1.37 ± 0.17,-0.05 ± 0.08,19.2 ± 0.2,18.74 ± 9.03,5
Redmere 2,WienerNet-SS (Gaussian),0.765 ± 0.049,1.75 ± 0.07,2.48 ± 0.40,0.709 ± 0.074,0.908 ± 0.051,0.932 ± 0.042,5.23 ± 1.51,0.145 ± 0.036,0.97 ± 0.29,-0.02 ± 0.06,19.0 ± 1.0,28.09 ± 23.24,5
Redmere 2,WienerNet-SS (beta-NLL),0.768 ± 0.029,1.79 ± 0.05,2.49 ± 0.26,0.711 ± 0.070,0.902 ± 0.048,0.928 ± 0.041,5.28 ± 1.11,0.142 ± 0.027,1.00 ± 0.27,-0.00 ± 0.01,19.4 ± 0.1,19.97 ± 12.65,5
Redmere 2,WienerNet-SS (Student-t),0.746 ± 0.034,1.59 ± 0.08,2.49 ± 0.26,0.641 ± 0.067,0.876 ± 0.037,0.916 ± 0.026,4.74 ± 1.08,0.120 ± 0.021,1.41 ± 0.37,-0.01 ± 0.02,19.4 ± 0.2,16.53 ± 9.70,5
Redmere 2,WienerNet-SS (mixture),0.712 ± 0.013,1.71 ± 0.04,2.46 ± 0.21,0.559 ± 0.040,0.882 ± 0.026,0.936 ± 0.014,4.69 ± 0.64,0.088 ± 0.019,0.95 ± 0.08,-0.02 ± 0.03,19.2 ± 0.2,18.48 ± 4.21,5
Redmere 2,WienerNet-SS (+residual),0.712 ± 0.014,1.96 ± 0.19,2.28 ± 0.13,0.588 ± 0.045,0.872 ± 0.036,0.914 ± 0.027,4.37 ± 0.68,0.081 ± 0.018,1.55 ± 0.24,-0.03 ± 0.06,19.1 ± 0.3,11.93 ± 5.50,5
Redmere 2,WienerNet-SS (state-space),0.726 ± 0.014,1.84 ± 0.08,2.52 ± 0.14,0.624 ± 0.020,0.897 ± 0.013,0.934 ± 0.010,5.13 ± 0.38,0.100 ± 0.009,1.39 ± 0.09,-0.04 ± 0.04,19.0 ± 0.2,15.07 ± 5.76,5
Redmere 2,"WienerNet-SS (given-diurnal, Wiener)",0.729 ± 0.022,1.80 ± 0.08,2.60 ± 0.16,0.633 ± 0.021,0.905 ± 0.011,0.940 ± 0.005,5.36 ± 0.48,0.108 ± 0.009,1.33 ± 0.06,-0.01 ± 0.00,19.5 ± 0.0,17.69 ± 3.45,5
Redmere 2,"WienerNet-SS (given-diurnal, state-sp)",0.728 ± 0.033,1.94 ± 0.21,2.52 ± 0.35,0.613 ± 0.059,0.887 ± 0.043,0.926 ± 0.032,5.08 ± 1.17,0.103 ± 0.023,1.46 ± 0.28,-0.01 ± 0.00,19.5 ± 0.0,15.20 ± 10.04,5
Redmere 2,WienerNet-SS (predicted-k),0.712 ± 0.013,2.20 ± 0.48,2.27 ± 0.21,0.593 ± 0.067,0.868 ± 0.053,0.908 ± 0.040,4.33 ± 1.05,0.093 ± 0.027,1.68 ± 0.42,0.00 ± 0.01,19.3 ± 0.1,15.01 ± 7.43,5
Redmere 2,Neural SDE (Gaussian),0.773 ± 0.025,1.78 ± 0.07,2.49 ± 0.16,0.683 ± 0.025,0.891 ± 0.019,0.918 ± 0.017,5.06 ± 0.51,0.129 ± 0.010,1.07 ± 0.12,-0.07 ± 0.07,18.6 ± 0.4,19.59 ± 8.83,5
Redmere 2,Neural SDE (Student-t),0.732 ± 0.026,1.55 ± 0.06,2.36 ± 0.12,0.607 ± 0.041,0.856 ± 0.027,0.902 ± 0.017,4.27 ± 0.46,0.101 ± 0.018,1.51 ± 0.31,-0.07 ± 0.12,18.3 ± 0.8,13.34 ± 6.20,5
Redmere 2,Neural SDE (ALD),0.732 ± 0.038,1.97 ± 0.20,2.43 ± 0.23,0.592 ± 0.039,0.876 ± 0.030,0.918 ± 0.023,4.76 ± 0.79,0.087 ± 0.023,1.52 ± 0.21,-0.12 ± 0.22,18.2 ± 1.1,16.31 ± 6.44,5
Redmere 2,Mean-variance (Gaussian),0.745 ± 0.017,1.78 ± 0.08,2.45 ± 0.23,0.663 ± 0.025,0.872 ± 0.024,0.904 ± 0.018,4.54 ± 0.49,0.124 ± 0.011,1.18 ± 0.13,0.02 ± 0.02,19.3 ± 0.3,12.95 ± 4.14,5
Redmere 2,Mean-variance (Student-t),0.721 ± 0.016,1.54 ± 0.05,2.37 ± 0.29,0.589 ± 0.031,0.843 ± 0.032,0.891 ± 0.032,4.03 ± 0.47,0.093 ± 0.015,1.66 ± 0.24,0.02 ± 0.04,18.6 ± 0.4,12.11 ± 7.66,5
Redmere 2,Mean-variance (ALD),0.713 ± 0.013,1.94 ± 0.11,2.37 ± 0.13,0.588 ± 0.027,0.871 ± 0.019,0.916 ± 0.015,4.53 ± 0.42,0.086 ± 0.006,1.54 ± 0.12,-0.00 ± 0.05,18.9 ± 0.4,11.39 ± 3.88,5
Redmere 2,Analytical SDE (Gaussian),0.773,1.89,2.24,0.747,0.921,0.937,5.08,0.162,1.01,-0.00,19.4,24.60,1
Redmere 2,Analytical SDE (Student-t),0.733,1.49,1.68,0.486,0.689,0.729,1.63,0.110,3.13,-0.00,19.4,2.44,1
Redmere 2,MDN (mixture),0.716 ± 0.011,1.59 ± 0.03,2.33 ± 0.08,0.558 ± 0.048,0.853 ± 0.025,0.910 ± 0.021,4.22 ± 0.40,0.088 ± 0.016,1.28 ± 0.14,0.02 ± 0.01,19.1 ± 0.3,13.66 ± 5.62,5
Redmere 2,Random Forest,—,—,1.54 ± 0.01,—,—,—,—,—,—,—,—,—,5
Redmere 2,XGBoost,—,—,1.67 ± 0.00,—,—,—,—,—,—,—,—,—,5
Great Fen,"WienerNet-SS (ALD, primary)",0.898 ± 0.015,3.67 ± 0.93,2.56 ± 0.10,0.470 ± 0.043,0.828 ± 0.039,0.878 ± 0.034,4.77 ± 0.55,0.042 ± 0.014,2.36 ± 0.48,-0.00 ± 0.01,14.9 ± 0.8,15.46 ± 3.85,5
