Site,Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 0-2h,CRPS 2-5h,CRPS 5h+,PIT-KS 5h+,cov90 5h+,sharp 5h+,n
Redmere 2,"WienerNet-SS (given-diurnal, state-sp)",1.82 ± 0.00,1.75 ± 0.00,1.66 ± 0.00,0.965 ± 0.104,1.240 ± 0.240,1.416 ± 0.403,0.340 ± 0.033,0.999 ± 0.001,16.10 ± 5.72,5
Redmere 2,Neural SDE (Gaussian),1.94 ± 0.13,2.33 ± 0.70,3.00 ± 1.52,1.037 ± 0.086,1.409 ± 0.243,1.675 ± 0.452,0.247 ± 0.035,0.979 ± 0.033,15.04 ± 1.73,5
Redmere 2,Neural SDE (Student-t),1.92 ± 0.08,2.12 ± 0.31,2.34 ± 0.93,0.957 ± 0.068,1.228 ± 0.158,1.380 ± 0.405,0.250 ± 0.049,0.994 ± 0.006,13.28 ± 1.86,5
Redmere 2,Neural SDE (ALD),1.95 ± 0.22,2.24 ± 0.79,2.70 ± 2.14,0.973 ± 0.111,1.278 ± 0.263,1.524 ± 0.624,0.296 ± 0.025,0.994 ± 0.008,14.75 ± 4.05,5
Redmere 2,Mean-variance (Gaussian),1.84 ± 0.02,1.79 ± 0.07,1.73 ± 0.21,0.963 ± 0.047,1.196 ± 0.084,1.227 ± 0.108,0.270 ± 0.028,0.998 ± 0.001,13.30 ± 1.27,5
Redmere 2,Mean-variance (Student-t),1.84 ± 0.04,1.88 ± 0.15,1.88 ± 0.32,0.921 ± 0.045,1.150 ± 0.113,1.257 ± 0.252,0.249 ± 0.037,0.994 ± 0.005,13.21 ± 4.55,5
Redmere 2,Mean-variance (ALD),1.85 ± 0.03,1.87 ± 0.12,1.71 ± 0.25,0.921 ± 0.027,1.161 ± 0.063,1.263 ± 0.145,0.278 ± 0.052,0.999 ± 0.002,13.57 ± 1.79,5
Redmere 2,Analytical SDE (Gaussian),1.82,1.75,1.71,0.990,1.297,1.722,0.307,0.994,20.59,1
Redmere 2,Analytical SDE (Student-t),1.82,1.75,1.71,0.861,0.880,0.886,0.180,0.947,6.62,1
Redmere 2,MDN (mixture),1.83 ± 0.02,1.84 ± 0.15,1.92 ± 0.61,0.908 ± 0.032,1.108 ± 0.111,1.263 ± 0.312,0.253 ± 0.030,0.994 ± 0.009,13.00 ± 2.09,5
Redmere 2,Random Forest,1.68 ± 0.01,1.49 ± 0.01,1.24 ± 0.01,—,—,—,—,—,—,5
Redmere 2,XGBoost,1.85 ± 0.00,1.59 ± 0.00,1.34 ± 0.00,—,—,—,—,—,—,5
Great Fen,"WienerNet-SS (ALD, primary)",1.72 ± 0.04,1.91 ± 0.14,1.90 ± 0.20,0.994 ± 0.020,1.274 ± 0.075,1.553 ± 0.125,0.288 ± 0.054,0.992 ± 0.006,16.10 ± 1.40,5
Great Fen,WienerNet-SS (Gaussian),1.80 ± 0.08,2.21 ± 0.34,2.92 ± 0.86,1.034 ± 0.032,1.439 ± 0.074,1.988 ± 0.195,0.276 ± 0.045,0.978 ± 0.029,18.95 ± 3.88,5
Great Fen,WienerNet-SS (beta-NLL),1.98 ± 0.33,2.90 ± 1.21,3.99 ± 2.13,1.110 ± 0.139,1.682 ± 0.492,2.361 ± 0.915,0.344 ± 0.079,0.969 ± 0.059,19.00 ± 2.40,5
Great Fen,WienerNet-SS (Student-t),1.79 ± 0.07,2.21 ± 0.22,2.64 ± 0.45,1.027 ± 0.072,1.380 ± 0.255,1.816 ± 0.560,0.247 ± 0.069,0.982 ± 0.027,19.19 ± 9.91,5
Great Fen,WienerNet-SS (mixture),1.70 ± 0.02,1.88 ± 0.17,2.12 ± 0.68,0.948 ± 0.026,1.237 ± 0.108,1.668 ± 0.309,0.228 ± 0.056,0.992 ± 0.010,18.45 ± 3.19,5
Great Fen,WienerNet-SS (+residual),1.76 ± 0.08,2.08 ± 0.31,2.28 ± 0.51,1.006 ± 0.099,1.307 ± 0.275,1.645 ± 0.431,0.268 ± 0.065,0.988 ± 0.012,16.15 ± 4.92,5
Great Fen,"WienerNet-SS (given-diurnal, Wiener)",1.70 ± 0.00,1.79 ± 0.00,1.71 ± 0.00,0.988 ± 0.022,1.218 ± 0.068,1.491 ± 0.154,0.288 ± 0.024,0.988 ± 0.009,15.53 ± 2.35,5
Great Fen,"WienerNet-SS (given-diurnal, state-sp)",1.70 ± 0.00,1.79 ± 0.00,1.71 ± 0.00,0.960 ± 0.023,1.161 ± 0.072,1.369 ± 0.136,0.279 ± 0.030,0.985 ± 0.008,14.04 ± 2.25,5
Great Fen,Neural SDE (Gaussian),1.85 ± 0.20,2.54 ± 0.70,3.34 ± 1.15,1.021 ± 0.071,1.400 ± 0.169,1.805 ± 0.219,0.222 ± 0.054,0.969 ± 0.041,15.45 ± 2.77,5
Great Fen,Neural SDE (Student-t),1.76 ± 0.09,2.17 ± 0.29,2.64 ± 0.49,0.981 ± 0.048,1.248 ± 0.102,1.577 ± 0.154,0.219 ± 0.022,0.983 ± 0.024,14.70 ± 1.57,5
Great Fen,Neural SDE (ALD),1.70 ± 0.01,1.90 ± 0.07,1.93 ± 0.16,0.976 ± 0.006,1.227 ± 0.059,1.486 ± 0.112,0.267 ± 0.032,0.984 ± 0.024,14.74 ± 2.55,5
Great Fen,Mean-variance (Gaussian),1.79 ± 0.11,2.20 ± 0.42,2.52 ± 0.84,0.996 ± 0.073,1.271 ± 0.174,1.504 ± 0.223,0.224 ± 0.016,0.989 ± 0.007,14.36 ± 1.30,5
Great Fen,Mean-variance (Student-t),1.81 ± 0.18,2.27 ± 0.64,2.59 ± 1.05,0.999 ± 0.082,1.243 ± 0.200,1.469 ± 0.234,0.212 ± 0.040,0.974 ± 0.018,12.99 ± 1.20,5
Great Fen,Mean-variance (ALD),1.75 ± 0.08,2.07 ± 0.32,2.25 ± 0.58,1.002 ± 0.061,1.252 ± 0.142,1.505 ± 0.243,0.257 ± 0.031,0.982 ± 0.016,14.01 ± 2.89,5
Great Fen,Analytical SDE (Gaussian),1.69,1.77,1.68,0.970,1.287,1.694,0.262,1.000,20.44,1
Great Fen,Analytical SDE (Student-t),1.69,1.77,1.68,0.892,0.995,1.098,0.163,0.980,10.27,1
Great Fen,MDN (mixture),1.70 ± 0.02,1.84 ± 0.09,1.86 ± 0.20,0.945 ± 0.026,1.105 ± 0.088,1.272 ± 0.150,0.216 ± 0.041,0.988 ± 0.008,13.29 ± 2.25,5
Great Fen,Random Forest,1.91 ± 0.01,1.45 ± 0.01,1.04 ± 0.01,—,—,—,—,—,—,5
Great Fen,XGBoost,1.97 ± 0.00,1.45 ± 0.00,1.06 ± 0.00,—,—,—,—,—,—,5
