model,site,seed,hour_bin,n,rmse,mae,bias,crps,cov90,sharp90,pit_ks
GT-k (primary),great_fen,42,18-21,1194,1.3157216929322852,0.8809888055376471,0.05603224992552395,0.701528390010052,0.8752093802345059,4.105527890378912,0.07408328772575751
GT-k (primary),woodwalton,0,21-24,4208,1.1338602966122675,0.48615497750045994,-0.005789907262288742,0.4257415137208132,0.8063212927756654,1.6793367598756717,0.09277001844671162
GT-k (primary),woodwalton,1,21-24,4208,1.130848634056192,0.47824350939249133,0.08922564316569286,0.433514887784664,0.5125950570342205,0.5291387088634905,0.22715101833377255
GT-k (primary),woodwalton,42,21-24,4208,3.1012827004467867,1.4701211081672558,1.1617892377889456,1.182352831244006,0.7371673003802282,2.9305093017207278,0.22544987388472693
GT-k (primary),rosedene,0,21-24,5803,1.8737055547609458,0.9854016285861502,0.04419404750247875,0.8012902856153098,0.5934861278648975,1.4988840031569395,0.1122439229964699
GT-k (primary),rosedene,1,21-24,5803,1.8736038720263524,0.9848573285070099,0.04386969933720595,0.788400174082311,0.6901602619334827,2.010627334312932,0.06690718184346434
GT-k (primary),rosedene,42,21-24,5803,1.8740761421318541,0.9857832720269217,0.048064723241109386,0.8022836423291134,0.6655178356022747,1.945185230358519,0.08341963784522521
GT-k (primary),redmere_1,0,21-24,991,1.46775262107267,0.8641651987834006,0.037792458626564766,0.6937327330680897,0.7598385469223007,2.8138204346142395,0.04974972774774955
GT-k (primary),redmere_1,1,21-24,991,1.7769525322220823,1.0066826736665397,-0.2908227945237179,0.7801321287450041,0.851664984863774,3.958373195812066,0.09705667842263538
GT-k (primary),redmere_1,42,21-24,991,3.248284412656076,1.3810106172826888,-0.24320421647562387,1.0967018774161859,0.7719475277497477,3.6551504781231983,0.10279145977160786
GT-k (primary),redmere_2,0,21-24,1831,1.798767092825091,1.0062337849448892,0.08333053717522967,0.8233805073668128,0.70999453850355,3.112785841408266,0.06351287777603531
GT-k (primary),redmere_2,1,21-24,1831,1.8199311110702059,1.0273801567687046,0.08638044550062723,0.8505741946690927,0.8252321135991262,4.1341260853907675,0.08292011615142947
GT-k (primary),redmere_2,42,21-24,1831,1.8739069659428358,1.0827257661799967,0.2319227776010503,0.866334763550354,0.7924631348989624,3.6861089789873644,0.09481103763025134
GT-k (primary),great_fen,0,21-24,2035,2.17873043398884,1.3637125226108389,0.13663792902699853,1.0680713992133406,0.8186732186732186,5.13431870323408,0.03864305349453867
GT-k (primary),great_fen,1,21-24,2035,2.110060616804548,1.3019848102397062,0.025123780420283428,1.0474269850758944,0.6245700245700245,2.396836621934896,0.10011676843360011
GT-k (primary),great_fen,42,21-24,2035,2.115748668293335,1.3099916390141046,0.01372839894502696,1.0371784114428526,0.8486486486486486,5.146695201607882,0.05626049091395627
GT-k (primary),woodwalton,0,00-03,4247,1.0981032053125932,0.46374227884610403,0.006572667140033853,0.4105105322089201,0.8062161525782906,1.5224578228732821,0.09416198271581333
GT-k (primary),woodwalton,1,00-03,4247,1.0963051901189094,0.45979635878846536,0.10547620760137007,0.4172830474607559,0.5224864610313162,0.48297988298334577,0.23231191732311918
GT-k (primary),woodwalton,42,00-03,4247,2.8849959530410896,1.424320911519775,1.139154999093895,1.1293725590115358,0.7471156110195432,3.0388665848017675,0.21331656358477857
GT-k (primary),rosedene,0,00-03,5665,1.8786536561435285,0.961394186360007,0.05945019077933792,0.7885020986739668,0.5696381288614298,1.3653614377708776,0.12805659206697367
GT-k (primary),rosedene,1,00-03,5665,1.877629378446573,0.960315437098046,0.054708905558826015,0.7763707006916795,0.6714916151809356,1.862502361378413,0.0775204704936513
GT-k (primary),rosedene,42,00-03,5665,1.878292555035643,0.9615704756286012,0.056968797563138725,0.7873262170758909,0.6511915269196823,1.8002080379460055,0.0862329922312619
GT-k (primary),redmere_1,0,00-03,983,2.561238215100217,1.0216836041319899,0.10088662656842677,0.860487498554593,0.7945066124109867,3.2093015127925093,0.05496912865243797
GT-k (primary),redmere_1,1,00-03,983,2.599448759006507,1.0780726943135694,0.011132000311204855,0.8727192877793803,0.8413021363173957,3.812750038076231,0.06387296918908575
GT-k (primary),redmere_1,42,00-03,983,3.5370333583284506,1.3849139088316653,-0.14030583991526058,1.1172314889043546,0.780264496439471,3.3542792553809844,0.08791535308159493
GT-k (primary),redmere_2,0,00-03,1683,1.6845655239366049,0.9016330840866525,0.05376504526824419,0.769278833676203,0.7314319667260843,3.1651275195465614,0.08488201761352604
GT-k (primary),redmere_2,1,00-03,1683,1.681774434736369,0.8934894164945859,0.031249385451747463,0.7699693181995088,0.8484848484848485,3.8939470130539764,0.12846284628462845
GT-k (primary),redmere_2,42,00-03,1683,1.9763808225859094,1.0631917864024756,0.25779424252116356,0.874251868133647,0.8193701723113488,4.126677913471396,0.11856185618561854
GT-k (primary),great_fen,0,00-03,2024,2.0309673273032627,1.2554565518358243,0.06610955249356187,0.9824081696512649,0.8033596837944664,4.482933190414799,0.026268931240950144
GT-k (primary),great_fen,1,00-03,2024,2.013500576584125,1.2452800233108487,-0.006153448429621256,0.9870599176029643,0.6304347826086957,2.567399122470836,0.10791785700309164
GT-k (primary),great_fen,42,00-03,2024,1.999896804234647,1.2340133258623804,0.026019844509985134,0.9831987924784813,0.8527667984189723,5.085643324311256,0.06613215669393024
GT-k (primary),woodwalton,0,03-06,3823,1.4850894121719853,0.7251200302592433,0.2533232711139592,0.6286706107665088,0.7329322521579911,1.48244329615096,0.12913631148623628
GT-k (primary),woodwalton,1,03-06,3823,1.508337325406839,0.7477130091829767,0.35399752506499527,0.6895552435372,0.38922312320167407,0.4052831775775678,0.3581255195883177
GT-k (primary),woodwalton,42,03-06,3823,2.4942589492177416,1.2255500850533,0.8763983366797061,0.9939157521924273,0.7229924143342924,2.369585606000862,0.17951404086262668
GT-k (primary),rosedene,0,03-06,5036,1.737538955177388,0.8627313952242055,0.09867367514862581,0.7098287910821445,0.562351072279587,1.1937557831455272,0.14158258558183065
GT-k (primary),rosedene,1,03-06,5036,1.7364683142337647,0.8614970693916579,0.08958932479238396,0.6925031750062115,0.6852660841938046,1.7420265006633262,0.07545277959090588
GT-k (primary),rosedene,42,03-06,5036,1.7398247186994467,0.8636891145268019,0.09257975997694719,0.7036126177359532,0.6658061953931692,1.6746998748963482,0.07804598966648058
GT-k (primary),redmere_1,0,03-06,876,3.1290889810921283,1.0957214047358323,0.19399534289185041,0.9332708279368399,0.7808219178082192,3.0939703229651485,0.04907545549075455
GT-k (primary),redmere_1,1,03-06,876,3.1787494863770593,1.142604684763371,0.07911613888902479,0.9693716808834918,0.839041095890411,3.854520107231472,0.07450608074506082
GT-k (primary),redmere_1,42,03-06,876,3.593908351858304,1.3639166017390414,-0.08933534171245142,1.1080389460381592,0.8025114155251142,3.473242912431759,0.08684841086848405
GT-k (primary),redmere_2,0,03-06,1472,1.814509654507371,0.97085413627112,0.1757947870929733,0.7676319653604056,0.7438858695652174,3.130958886805325,0.07529326302195438
GT-k (primary),redmere_2,1,03-06,1472,1.8146026268015574,0.9730721450692015,0.1771310036677713,0.7831054220340055,0.8199728260869565,3.6088800148100377,0.09334642703400775
GT-k (primary),redmere_2,42,03-06,1472,2.5975717777361713,1.2352380353671755,0.5275862513838586,0.9826408532425753,0.826766304347826,4.13991728863072,0.11488377098579428
GT-k (primary),great_fen,0,03-06,1812,1.9685882903872223,1.1824234145925798,-0.09647802671388811,0.9410969884267403,0.8565121412803532,5.2966537650774494,0.08165038358140453
GT-k (primary),great_fen,1,03-06,1812,2.051636309646742,1.2427725695715046,-0.3934557441679584,0.978262343504798,0.8018763796909493,5.093500997704185,0.10397678840731756
GT-k (primary),great_fen,42,03-06,1812,2.1061645682144734,1.2757803863017239,-0.39122490195051723,1.008215890444756,0.880242825607064,5.694514118476807,0.135084038205145
GT-k (primary),woodwalton,0,06-09,1421,1.676026605585594,0.9344000763179214,0.594898392372279,0.7893391929390834,0.6249120337790288,1.2832797162184766,0.2203823830658928
GT-k (primary),woodwalton,1,06-09,1421,1.7174624865080634,0.9863040008346886,0.6956352103366547,0.9408780010155144,0.2582688247712878,0.2562400421243238,0.5148619365807094
GT-k (primary),woodwalton,42,06-09,1421,1.6790376827701676,0.9226000161368313,0.5721960336672514,0.8133567379812652,0.5819845179451091,1.1259104260058945,0.23829613784742304
GT-k (primary),rosedene,0,06-09,214,0.5693392329478839,0.3759907740298833,0.06985721019940956,0.29538267258936973,0.6308411214953271,0.6727476891913213,0.14337929120014803
