model,site,seed,sd_pred,n_dn,rmse_dn,mae_dn,bias_dn,r2_dn,corr_dn,sd_dn,rmse_ref_dn,n_ob,rmse_ob,mae_ob,bias_ob,r2_ob,corr_ob,sd_ob,rmse_ref_ob
GT-k (primary),redmere_2,1,0.03760638708182979,7304,0.03930986206374258,0.02196693314594582,0.006402807389662911,-85.87734986251006,-0.22774624800883,0.004217433443760938,0.004217433443760938,7304,0.04124306559227308,0.02423465282073851,0.006402807386616652,-15.956109373518746,-0.19306128180982954,0.010015850517191383,0.010015850517191383
GT-k (primary),redmere_2,42,0.1246221915981306,7304,0.13199264081969084,0.05123351018428446,0.04125691654587539,-978.4966631038741,-0.16310056753740948,0.004217433443760938,0.004217433443760938,7304,0.13349010293578709,0.053595651793182604,0.04125691654282913,-176.63251608610508,-0.19486764689321084,0.010015850517191383,0.010015850517191383
GT-k (primary),great_fen,0,0.06090248699262467,8056,0.06202497377180993,0.03216699094513439,-0.0025635839618019245,-191.53043916520832,-0.20465532266126382,0.004470096395279888,0.004470096395279888,8056,0.06289150234980222,0.0342825486741967,-0.0025635839652138844,-29.32599618551244,-0.07852132337310387,0.011420481937327849,0.011420481937327849
GT-k (primary),great_fen,1,0.08199952701865629,8056,0.08684750085465473,0.03265934706519734,-0.02596337316562811,-376.46863797969246,-0.16981161541557627,0.004470096395279888,0.004470096395279888,8056,0.08767816300369752,0.035801290813414946,-0.02596337316904007,-57.94052794881044,-0.08490020146086165,0.011420481937327849,0.011420481937327849
GT-k (primary),great_fen,42,0.07293706750486233,8056,0.07572389588194312,0.022592441714325544,-0.01678126305115092,-285.96710879571975,-0.17283388316924836,0.004470096395279888,0.004470096395279888,8056,0.07647861162646852,0.02620592121338957,-0.01678126305456288,-43.84470051436747,-0.07030452123145313,0.011420481937327849,0.011420481937327849
predicted-k,woodwalton,0,0.05056290649242297,17164,0.1922230393194134,0.18571105620799344,0.18565861488085578,-1691.7527591769338,0.2071261992276375,0.0046720628305750534,0.0046720628305750534,17164,0.19250108743475225,0.1857296834620219,0.18565861487412094,-195.2786515284335,0.1136065530238392,0.013740313899403134,0.013740313899403134
predicted-k,woodwalton,1,0.00254156749376065,17164,0.01794757460602409,0.017088477518464137,-0.017086476290301987,-13.756867759042144,-0.0791632274741556,0.0046720628305750534,0.0046720628305750534,17164,0.021987256393041745,0.019076103147834228,-0.017086476297036825,-1.560641458769123,0.053891915181492916,0.013740313899403134,0.013740313899403134
predicted-k,woodwalton,42,0.010800671778757789,17164,0.016506016561332958,0.013080504151879358,0.011285092487162108,-11.481512150706626,-0.0655212307312813,0.0046720628305750534,0.0046720628305750534,17164,0.02029468773259112,0.015525611908598977,0.011285092480427267,-1.18158147952223,0.07051565839182557,0.013740313899403134,0.013740313899403134
predicted-k,rosedene,0,0.010295840703239,20968,0.012290729676675102,0.008090546923112186,-0.007224231496637156,-6.379630776398303,0.2962700061105125,0.004524393295684257,0.004524393295684257,20968,0.015022281828351707,0.01090367720160628,-0.007224231503379597,-1.0199920246095457,0.20327699588095915,0.010569661476333267,0.010569661476333267
predicted-k,rosedene,1,0.005645735308195981,20968,0.008189527648589134,0.006362483326014604,0.005274172764627996,-2.2764006739319247,0.2562879652417996,0.004524393295684257,0.004524393295684257,20968,0.012619486432855027,0.00954162711747918,0.005274172757885555,-0.4254802551512358,0.10186706918425828,0.010569661476333267,0.010569661476333267
predicted-k,rosedene,42,0.007839252296437654,20968,0.01344438135705466,0.011564743450834225,0.01014076922634709,-7.830004920612982,0.05649934375933943,0.004524393295684257,0.004524393295684257,20968,0.01655645914052998,0.013002461882407107,0.010140769219604648,-1.4536508716874073,0.01140792585179499,0.010569661476333267,0.010569661476333267
predicted-k,redmere_1,0,38.446192680354784,3942,38.481599786050175,1.656731342488357,1.6524609428070642,-89117429.23114915,0.021864772332397437,0.004076353052474361,0.004076353052474361,3942,38.48106127076603,1.659868539999752,1.6524609427978854,-14464477.531692402,0.06219113193811263,0.010118022721357861,0.010118022721357861
predicted-k,redmere_1,1,1.6562115043048498,3942,1.6569840110600085,0.05717165751022174,0.05200587112410708,-165230.57902135036,0.011980011346829382,0.004076353052474361,0.004076353052474361,3942,1.656989204174754,0.06033535978985345,0.05200587111492815,-26818.338208531284,0.006871791059867588,0.010118022721357861,0.010118022721357861
predicted-k,redmere_1,42,17.336747530788585,3942,17.350009817638217,0.7159530639711875,0.6803432474673933,-18115730.17527243,0.020219306162903808,0.004076353052474361,0.004076353052474361,3942,17.349454876583234,0.7191622604916875,0.6803432474582144,-2940222.651380386,0.063278274218189,0.010118022721357861,0.010118022721357861
predicted-k,redmere_2,0,0.007777217883664161,7304,0.008830842574215484,0.00493607959996376,-0.0009735118867921607,-3.384376186707506,0.018838589916825063,0.004217433443760938,0.004217433443760938,7304,0.012514790962328107,0.008616626658902648,-0.00097351188983842,-0.5612466923413617,0.03292947178253475,0.010015850517191383,0.010015850517191383
predicted-k,redmere_2,1,0.005728605157792279,7304,0.009067962119916617,0.005960834792035976,0.0044307934175157,-3.6229896301930156,-0.2481858307874868,0.004217433443760938,0.004217433443760938,7304,0.01301668543516769,0.009259106982033615,0.00443079341446944,-0.6889825045552023,-0.145250130914416,0.010015850517191383,0.010015850517191383
predicted-k,redmere_2,42,0.007973919577494945,7304,0.01128682491875086,0.009049154028076694,0.007293043958134597,-6.162210837484882,0.10654658878111624,0.004217433443760938,0.004217433443760938,7304,0.014563912795408753,0.011079014562949234,0.007293043955088337,-1.1143674833803572,0.03118733265762963,0.010015850517191383,0.010015850517191383
predicted-k,great_fen,0,0.009820951600033555,8056,0.01152917487253242,0.007478470018284681,0.0037932494323899644,-5.652159838773212,-0.023920855925426622,0.004470096395279888,0.004470096395279888,8056,0.015650966053347894,0.010765367771357661,0.0037932494289780044,-0.8780771829987675,-0.016429650275898686,0.011420481937327849,0.011420481937327849
predicted-k,great_fen,1,0.011167607822100583,8056,0.012252055901901855,0.0052719653333479196,0.0003349834181044788,-6.51249441629979,-0.053119026105190245,0.004470096395279888,0.004470096395279888,8056,0.01617938002329087,0.009867553344639944,0.0003349834146925189,-1.007034737504295,-0.025549942450521276,0.011420481937327849,0.011420481937327849
predicted-k,great_fen,42,0.03857142266376322,8056,0.03813194043452587,0.023093687798359113,3.263031096953215e-05,-71.7686025429668,0.15570473662678458,0.004470096395279888,0.004470096395279888,8056,0.03975491949449086,0.025682656828209402,3.263030755757226e-05,-11.11749625416899,0.04282534836476074,0.011420481937327849,0.011420481937327849
